"Label","Bronx County, New York / Estimate","Richmond County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Kings County, New York / Estimate"
"Total:","337206","35162","188382","322990","215156"
"Male:","170715","19935","99860","182770","118823"
"Management, business, science, and arts occupations:","24747","4473","31672","32499","23736"
"Management, business, and financial occupations:","12570","1867","13876","16080","10281"
"Management occupations","10012","1298","10498","12287","7498"
"Business and financial operations occupations","2558","569","3378","3793","2783"
"Computer, engineering, and science occupations:","2739","1017","5202","5762","3186"
"Computer and mathematical occupations","1732","556","3891","4013","2228"
"Architecture and engineering occupations","792","174","1134","1489","583"
"Life, physical, and social science occupations","215","287","177","260","375"
"Education, legal, community service, arts, and media occupations:","6851","930","10385","8397","8898"
"Community and social service occupations","1526","267","1379","871","1205"
"Legal occupations","96","0","1368","1249","600"
"Education, training, and library occupations","3225","486","3050","2888","2933"
"Arts, design, entertainment, sports, and media occupations","2004","177","4588","3389","4160"
"Healthcare practitioners and technical occupations:","2587","659","2209","2260","1371"
"Health diagnosing and treating practitioners and other technical occupations","898","129","1863","1276","809"
"Health technologists and technicians","1689","530","346","984","562"
"Service occupations:","59316","5228","27677","50795","32224"
"Healthcare support occupations","1479","377","978","728","916"
"Protective service occupations:","8555","1623","2118","6644","6183"
"Fire fighting and prevention, and other protective service workers including supervisors","5913","633","1564","3828","4543"
"Law enforcement workers including supervisors","2642","990","554","2816","1640"
"Food preparation and serving related occupations","24575","1743","11876","25371","13520"
"Building and grounds cleaning and maintenance occupations","18931","458","8685","13502","8082"
"Personal care and service occupations","5776","1027","4020","4550","3523"
"Sales and office occupations:","28473","3589","17903","30127","18225"
"Sales and related occupations","12948","1703","7863","16316","9032"
"Office and administrative support occupations","15525","1886","10040","13811","9193"
"Natural resources, construction, and maintenance occupations:","25176","4036","7983","36797","23358"
"Farming, fishing, and forestry occupations","140","77","77","51","196"
"Construction and extraction occupations","15633","3584","5149","28205","17654"
"Installation, maintenance, and repair occupations","9403","375","2757","8541","5508"
"Production, transportation, and material moving occupations:","33003","2609","14625","32552","21280"
"Production occupations","6786","872","3658","8368","7279"
"Transportation occupations","21021","1035","9171","19377","8652"
"Material moving occupations","5196","702","1796","4807","5349"
"Female:","166491","15227","88522","140220","96333"
"Management, business, science, and arts occupations:","36610","5511","26827","38366","26247"
"Management, business, and financial occupations:","11267","2126","9885","12476","9952"
"Management occupations","7641","1583","5324","8224","7456"
"Business and financial operations occupations","3626","543","4561","4252","2496"
"Computer, engineering, and science occupations:","1154","423","1378","2321","1582"
"Computer and mathematical occupations","671","364","850","1206","668"
"Architecture and engineering occupations","170","0","258","160","285"
"Life, physical, and social science occupations","313","59","270","955","629"
"Education, legal, community service, arts, and media occupations:","19017","2146","11734","17259","10867"
"Community and social service occupations","4211","791","2629","3396","2883"
"Legal occupations","1428","147","1641","1551","442"
"Education, training, and library occupations","11889","1080","4173","10505","4813"
"Arts, design, entertainment, sports, and media occupations","1489","128","3291","1807","2729"
"Healthcare practitioners and technical occupations:","5172","816","3830","6310","3846"
"Health diagnosing and treating practitioners and other technical occupations","2836","501","2659","4165","1516"
"Health technologists and technicians","2336","315","1171","2145","2330"
"Service occupations:","74563","4781","32559","54780","36176"
"Healthcare support occupations","23671","952","8283","9592","10706"
"Protective service occupations:","2910","567","625","1296","1680"
"Fire fighting and prevention, and other protective service workers including supervisors","1834","211","275","796","1100"
"Law enforcement workers including supervisors","1076","356","350","500","580"
"Food preparation and serving related occupations","11745","577","5767","8932","5253"
"Building and grounds cleaning and maintenance occupations","12114","1262","5611","20466","10448"
"Personal care and service occupations","24123","1423","12273","14494","8089"
"Sales and office occupations:","44675","4341","24882","36883","29942"
"Sales and related occupations","17696","1818","10180","13414","11696"
"Office and administrative support occupations","26979","2523","14702","23469","18246"
"Natural resources, construction, and maintenance occupations:","1089","0","392","1266","334"
"Farming, fishing, and forestry occupations","0","0","0","77","0"
"Construction and extraction occupations","766","0","119","835","279"
"Installation, maintenance, and repair occupations","323","0","273","354","55"
"Production, transportation, and material moving occupations:","9554","594","3862","8925","3634"
"Production occupations","4991","85","2565","5702","1923"
"Transportation occupations","3233","391","956","1232","807"
"Material moving occupations","1330","118","341","1991","904"
