"Label","Bronx County, New York / Estimate","Richmond County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Kings County, New York / Estimate"
"Total:","221520","","78115","158809","102155"
"Male:","112009","","41318","90346","58589"
"Management, business, science, and arts occupations:","14661","","10229","13642","7482"
"Management, business, and financial occupations:","7718","","5855","7308","3249"
"Management occupations","5679","","4428","4959","2254"
"Business and financial operations occupations","2039","","1427","2349","995"
"Computer, engineering, and science occupations:","1013","","1327","2642","729"
"Computer and mathematical occupations","633","","871","1940","581"
"Architecture and engineering occupations","380","","377","668","121"
"Life, physical, and social science occupations","0","","79","34","27"
"Education, legal, community service, arts, and media occupations:","4105","","2443","2457","2984"
"Community and social service occupations","878","","330","218","572"
"Legal occupations","41","","114","185","45"
"Education, training, and library occupations","1937","","640","1459","770"
"Arts, design, entertainment, sports, and media occupations","1249","","1359","595","1597"
"Healthcare practitioners and technical occupations:","1825","","604","1235","520"
"Health diagnosing and treating practitioners and other technical occupations","681","","385","547","127"
"Health technologists and technicians","1144","","219","688","393"
"Service occupations:","38274","","13308","22748","15234"
"Healthcare support occupations","1144","","584","339","259"
"Protective service occupations:","4198","","809","2104","1640"
"Fire fighting and prevention, and other protective service workers including supervisors","3726","","550","1594","1503"
"Law enforcement workers including supervisors","472","","259","510","137"
"Food preparation and serving related occupations","16124","","6152","12743","7213"
"Building and grounds cleaning and maintenance occupations","13527","","4307","5747","4484"
"Personal care and service occupations","3281","","1456","1815","1638"
"Sales and office occupations:","16809","","6531","14289","8226"
"Sales and related occupations","7622","","3328","7550","3960"
"Office and administrative support occupations","9187","","3203","6739","4266"
"Natural resources, construction, and maintenance occupations:","17834","","4603","21213","15777"
"Farming, fishing, and forestry occupations","44","","0","51","62"
"Construction and extraction occupations","11116","","2605","15939","12612"
"Installation, maintenance, and repair occupations","6674","","1998","5223","3103"
"Production, transportation, and material moving occupations:","24431","","6647","18454","11870"
"Production occupations","5095","","1773","5583","4161"
"Transportation occupations","15889","","4088","9620","4651"
"Material moving occupations","3447","","786","3251","3058"
"Female:","109511","","36797","68463","43566"
"Management, business, science, and arts occupations:","20536","","9715","14375","9165"
"Management, business, and financial occupations:","5882","","3088","4758","2857"
"Management occupations","4175","","1438","2894","2265"
"Business and financial operations occupations","1707","","1650","1864","592"
"Computer, engineering, and science occupations:","411","","156","582","282"
"Computer and mathematical occupations","185","","117","444","257"
"Architecture and engineering occupations","170","","0","0","0"
"Life, physical, and social science occupations","56","","39","138","25"
"Education, legal, community service, arts, and media occupations:","11138","","4860","6346","4735"
"Community and social service occupations","2076","","1592","833","1091"
"Legal occupations","863","","481","1201","154"
"Education, training, and library occupations","7659","","1726","3396","2071"
"Arts, design, entertainment, sports, and media occupations","540","","1061","916","1419"
"Healthcare practitioners and technical occupations:","3105","","1611","2689","1291"
"Health diagnosing and treating practitioners and other technical occupations","1274","","1073","1722","475"
"Health technologists and technicians","1831","","538","967","816"
"Service occupations:","53233","","14564","28027","19428"
"Healthcare support occupations","17415","","3066","6054","5591"
"Protective service occupations:","2425","","432","779","594"
"Fire fighting and prevention, and other protective service workers including supervisors","1645","","128","494","394"
"Law enforcement workers including supervisors","780","","304","285","200"
"Food preparation and serving related occupations","7912","","3467","4733","3141"
"Building and grounds cleaning and maintenance occupations","8098","","3059","8197","5852"
"Personal care and service occupations","17383","","4540","8264","4250"
"Sales and office occupations:","29450","","10533","21173","13323"
"Sales and related occupations","12479","","4321","7669","5380"
"Office and administrative support occupations","16971","","6212","13504","7943"
"Natural resources, construction, and maintenance occupations:","680","","171","455","278"
"Farming, fishing, and forestry occupations","0","","0","77","0"
"Construction and extraction occupations","567","","0","378","83"
"Installation, maintenance, and repair occupations","113","","171","0","195"
"Production, transportation, and material moving occupations:","5612","","1814","4433","1372"
"Production occupations","2823","","1305","2688","902"
"Transportation occupations","1996","","423","854","170"
"Material moving occupations","793","","86","891","300"
