"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","25782","157908","119627","311177"
"Male:","15065","81231","56074","171461"
"Management, business, science, and arts occupations:","3951","28563","34882","53555"
"Management, business, and financial occupations:","1961","11391","16815","25489"
"Management occupations","1093","7068","9813","16509"
"Business and financial operations occupations","868","4323","7002","8980"
"Computer, engineering, and science occupations:","504","7850","8964","14182"
"Computer and mathematical occupations","203","6225","5387","10855"
"Architecture and engineering occupations","115","1225","1252","2244"
"Life, physical, and social science occupations","186","400","2325","1083"
"Education, legal, community service, arts, and media occupations:","407","5575","6198","7109"
"Community and social service occupations","85","621","414","1109"
"Legal occupations","0","377","1705","900"
"Education, training, and library occupations","322","1613","1479","2641"
"Arts, design, entertainment, sports, and media occupations","0","2964","2600","2459"
"Healthcare practitioners and technical occupations:","1079","3747","2905","6775"
"Health diagnosing and treating practitioners and other technical occupations","656","3132","2564","4918"
"Health technologists and technicians","423","615","341","1857"
"Service occupations:","3986","16241","7913","34609"
"Healthcare support occupations","196","976","139","2538"
"Protective service occupations:","828","911","605","3003"
"Fire fighting and prevention, and other protective service workers including supervisors","293","178","336","1595"
"Law enforcement workers including supervisors","535","733","269","1408"
"Food preparation and serving related occupations","2032","10845","4462","20909"
"Building and grounds cleaning and maintenance occupations","508","1520","1612","3908"
"Personal care and service occupations","422","1989","1095","4251"
"Sales and office occupations:","3020","15108","8337","34508"
"Sales and related occupations","2066","7430","4885","19865"
"Office and administrative support occupations","954","7678","3452","14643"
"Natural resources, construction, and maintenance occupations:","749","6845","1829","16858"
"Farming, fishing, and forestry occupations","0","137","0","73"
"Construction and extraction occupations","469","4870","1775","10882"
"Installation, maintenance, and repair occupations","280","1838","54","5903"
"Production, transportation, and material moving occupations:","3359","14474","3113","31931"
"Production occupations","688","3805","1366","5052"
"Transportation occupations","2287","8943","1452","24172"
"Material moving occupations","384","1726","295","2707"
"Female:","10717","76677","63553","139716"
"Management, business, science, and arts occupations:","4158","32566","38954","54072"
"Management, business, and financial occupations:","1120","11476","13662","18150"
"Management occupations","651","5869","7214","8807"
"Business and financial operations occupations","469","5607","6448","9343"
"Computer, engineering, and science occupations:","154","3139","3717","3555"
"Computer and mathematical occupations","84","1785","2100","1691"
"Architecture and engineering occupations","0","541","874","1072"
"Life, physical, and social science occupations","70","813","743","792"
"Education, legal, community service, arts, and media occupations:","1324","11781","13648","16496"
"Community and social service occupations","101","997","834","2394"
"Legal occupations","58","805","1872","1130"
"Education, training, and library occupations","1165","6398","5756","9855"
"Arts, design, entertainment, sports, and media occupations","0","3581","5186","3117"
"Healthcare practitioners and technical occupations:","1560","6170","7927","15871"
"Health diagnosing and treating practitioners and other technical occupations","1331","5014","6719","12413"
"Health technologists and technicians","229","1156","1208","3458"
"Service occupations:","3920","21936","9392","39783"
"Healthcare support occupations","1808","7565","2914","9002"
"Protective service occupations:","64","185","85","1133"
"Fire fighting and prevention, and other protective service workers including supervisors","0","149","85","592"
"Law enforcement workers including supervisors","64","36","0","541"
"Food preparation and serving related occupations","342","4304","1300","7801"
"Building and grounds cleaning and maintenance occupations","259","997","887","5639"
"Personal care and service occupations","1447","8885","4206","16208"
"Sales and office occupations:","2388","17436","12822","40779"
"Sales and related occupations","1310","7966","7099","17535"
"Office and administrative support occupations","1078","9470","5723","23244"
"Natural resources, construction, and maintenance occupations:","0","204","456","400"
"Farming, fishing, and forestry occupations","0","85","0","179"
"Construction and extraction occupations","0","0","456","137"
"Installation, maintenance, and repair occupations","0","119","0","84"
"Production, transportation, and material moving occupations:","251","4535","1929","4682"
"Production occupations","251","3434","1421","3157"
"Transportation occupations","0","224","92","591"
"Material moving occupations","0","877","416","934"
