"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","338442","218782","202015","334415","37907"
"Male:","166722","119757","105575","188350","21594"
"Management, business, science, and arts occupations:","26548","23919","33138","33196","4773"
"Management, business, and financial occupations:","11945","9746","16519","18026","1809"
"Management occupations","9023","7401","11231","14073","1588"
"Business and financial operations occupations","2922","2345","5288","3953","221"
"Computer, engineering, and science occupations:","3819","2790","4281","5959","1172"
"Computer and mathematical occupations","2092","1946","2400","4320","174"
"Architecture and engineering occupations","1481","578","1083","1209","998"
"Life, physical, and social science occupations","246","266","798","430","0"
"Education, legal, community service, arts, and media occupations:","8157","9760","11189","6549","1369"
"Community and social service occupations","1601","1201","2546","1380","152"
"Legal occupations","313","975","1623","601","599"
"Education, training, and library occupations","3774","2975","2362","2092","500"
"Arts, design, entertainment, sports, and media occupations","2469","4609","4658","2476","118"
"Healthcare practitioners and technical occupations:","2627","1623","1149","2662","423"
"Health diagnosing and treating practitioners and other technical occupations","1326","508","536","1276","57"
"Health technologists and technicians","1301","1115","613","1386","366"
"Service occupations:","51039","29046","27139","51632","4468"
"Healthcare support occupations","1557","2130","1427","1427","51"
"Protective service occupations:","8040","4821","2863","5915","1205"
"Fire fighting and prevention, and other protective service workers including supervisors","5340","3201","2224","4023","607"
"Law enforcement workers including supervisors","2700","1620","639","1892","598"
"Food preparation and serving related occupations","17596","12048","14415","23921","1732"
"Building and grounds cleaning and maintenance occupations","17865","6445","4718","13809","1192"
"Personal care and service occupations","5981","3602","3716","6560","288"
"Sales and office occupations:","32289","23944","17841","27190","2857"
"Sales and related occupations","12415","9619","8209","14345","1380"
"Office and administrative support occupations","19874","14325","9632","12845","1477"
"Natural resources, construction, and maintenance occupations:","23513","22010","12257","41649","6192"
"Farming, fishing, and forestry occupations","0","146","0","350","0"
"Construction and extraction occupations","17651","18607","7329","32914","5024"
"Installation, maintenance, and repair occupations","5862","3257","4928","8385","1168"
"Production, transportation, and material moving occupations:","33333","20838","15200","34683","3304"
"Production occupations","7634","4587","4955","7482","896"
"Transportation occupations","17538","11504","7783","20376","1561"
"Material moving occupations","8161","4747","2462","6825","847"
"Female:","171720","99025","96440","146065","16313"
"Management, business, science, and arts occupations:","35825","30903","28384","36904","5472"
"Management, business, and financial occupations:","11377","10391","10785","12709","2209"
"Management occupations","7184","6732","6542","7626","994"
"Business and financial operations occupations","4193","3659","4243","5083","1215"
"Computer, engineering, and science occupations:","1278","1443","3038","1404","94"
"Computer and mathematical occupations","531","437","1361","884","65"
"Architecture and engineering occupations","179","509","410","300","29"
"Life, physical, and social science occupations","568","497","1267","220","0"
"Education, legal, community service, arts, and media occupations:","18582","15642","11409","15359","1997"
"Community and social service occupations","5111","2482","2168","2882","507"
"Legal occupations","882","808","812","1378","320"
"Education, training, and library occupations","11343","8114","5203","9298","1170"
"Arts, design, entertainment, sports, and media occupations","1246","4238","3226","1801","0"
"Healthcare practitioners and technical occupations:","4588","3427","3152","7432","1172"
"Health diagnosing and treating practitioners and other technical occupations","1586","1766","2604","4061","441"
"Health technologists and technicians","3002","1661","548","3371","731"
"Service occupations:","77456","33653","33778","57389","4272"
"Healthcare support occupations","28229","10666","11124","11797","1216"
"Protective service occupations:","4049","1790","1369","1334","313"
"Fire fighting and prevention, and other protective service workers including supervisors","3763","1195","548","816","132"
"Law enforcement workers including supervisors","286","595","821","518","181"
"Food preparation and serving related occupations","10644","4234","5063","8277","857"
"Building and grounds cleaning and maintenance occupations","14558","10427","7666","22613","694"
"Personal care and service occupations","19976","6536","8556","13368","1192"
"Sales and office occupations:","47802","28651","28390","40035","5983"
"Sales and related occupations","17590","11614","10782","14755","1928"
"Office and administrative support occupations","30212","17037","17608","25280","4055"
"Natural resources, construction, and maintenance occupations:","957","496","506","2390","0"
"Farming, fishing, and forestry occupations","657","49","210","209","0"
"Construction and extraction occupations","142","391","31","2024","0"
"Installation, maintenance, and repair occupations","158","56","265","157","0"
"Production, transportation, and material moving occupations:","9680","5322","5382","9347","586"
"Production occupations","3549","3084","4025","5093","278"
"Transportation occupations","4360","964","415","1995","138"
"Material moving occupations","1771","1274","942","2259","170"
