"Label","New York County, New York / Estimate","Kings County, New York / Estimate","Queens County, New York / Estimate","Bronx County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","117209","155112","304406","25245","24312"
"Male:","51758","79242","164773","14116","12425"
"Management, business, science, and arts occupations:","38403","29043","51575","4707","5286"
"Management, business, and financial occupations:","18499","9365","20966","1578","1998"
"Management occupations","13472","5278","12324","1148","959"
"Business and financial operations occupations","5027","4087","8642","430","1039"
"Computer, engineering, and science occupations:","11436","9380","14956","592","1546"
"Computer and mathematical occupations","7881","6604","9743","452","871"
"Architecture and engineering occupations","1554","1916","4047","115","594"
"Life, physical, and social science occupations","2001","860","1166","25","81"
"Education, legal, community service, arts, and media occupations:","5502","7746","8660","883","815"
"Community and social service occupations","260","403","1365","176","109"
"Legal occupations","1511","1195","934","92","159"
"Educational instruction, and library occupations","2179","2264","3629","300","270"
"Arts, design, entertainment, sports, and media occupations","1552","3884","2732","315","277"
"Healthcare practitioners and technical occupations:","2966","2552","6993","1654","927"
"Health diagnosing and treating practitioners and other technical occupations","2715","2057","4658","1151","491"
"Health technologists and technicians","251","495","2335","503","436"
"Service occupations:","4206","16359","27341","4171","1966"
"Healthcare support occupations","374","1630","2957","261","584"
"Protective service occupations:","444","1516","3949","833","183"
"Firefighting and prevention, and other protective service workers including supervisors","352","845","2075","421","115"
"Law enforcement workers including supervisors","92","671","1874","412","68"
"Food preparation and serving related occupations","2223","10792","13692","2190","891"
"Building and grounds cleaning and maintenance occupations","505","1638","3272","516","279"
"Personal care and service occupations","660","783","3471","371","29"
"Sales and office occupations:","5774","12093","32337","2575","2390"
"Sales and related occupations","4008","7543","18797","1887","745"
"Office and administrative support occupations","1766","4550","13540","688","1645"
"Natural resources, construction, and maintenance occupations:","827","6462","13643","642","712"
"Farming, fishing, and forestry occupations","0","0","0","0","0"
"Construction and extraction occupations","744","4653","9026","304","385"
"Installation, maintenance, and repair occupations","83","1809","4617","338","327"
"Production, transportation, and material moving occupations:","2548","15285","39877","2021","2071"
"Production occupations","536","2253","5284","374","648"
"Transportation occupations","1064","11281","30739","1500","1281"
"Material moving occupations","948","1751","3854","147","142"
"Female:","65451","75870","139633","11129","11887"
"Management, business, science, and arts occupations:","41417","32594","55825","5213","5200"
"Management, business, and financial occupations:","16636","12372","21470","1604","1846"
"Management occupations","7895","6664","9413","564","767"
"Business and financial operations occupations","8741","5708","12057","1040","1079"
"Computer, engineering, and science occupations:","5795","3333","4066","420","427"
"Computer and mathematical occupations","3061","2181","2208","148","267"
"Architecture and engineering occupations","841","702","769","48","0"
"Life, physical, and social science occupations","1893","450","1089","224","160"
"Education, legal, community service, arts, and media occupations:","13358","11371","12210","1438","853"
"Community and social service occupations","388","944","884","419","185"
"Legal occupations","2294","1086","1281","126","291"
"Educational instruction, and library occupations","5009","4612","6624","893","213"
"Arts, design, entertainment, sports, and media occupations","5667","4729","3421","0","164"
"Healthcare practitioners and technical occupations:","5628","5518","18079","1751","2074"
"Health diagnosing and treating practitioners and other technical occupations","5110","3535","13013","1386","1918"
"Health technologists and technicians","518","1983","5066","365","156"
"Service occupations:","8242","21623","40006","3438","3141"
"Healthcare support occupations","3062","11233","15453","1500","926"
"Protective service occupations:","58","224","792","126","44"
"Firefighting and prevention, and other protective service workers including supervisors","58","42","631","0","44"
"Law enforcement workers including supervisors","0","182","161","126","0"
"Food preparation and serving related occupations","1890","3837","7771","835","902"
"Building and grounds cleaning and maintenance occupations","1132","1727","4383","58","508"
"Personal care and service occupations","2100","4602","11607","919","761"
"Sales and office occupations:","14305","17898","36756","2038","2949"
"Sales and related occupations","7133","7339","17223","771","948"
"Office and administrative support occupations","7172","10559","19533","1267","2001"
"Natural resources, construction, and maintenance occupations:","455","406","368","0","0"
"Farming, fishing, and forestry occupations","0","0","29","0","0"
"Construction and extraction occupations","455","406","200","0","0"
"Installation, maintenance, and repair occupations","0","0","139","0","0"
"Production, transportation, and material moving occupations:","1032","3349","6678","440","597"
"Production occupations","801","2556","4230","405","597"
"Transportation occupations","103","218","1038","0","0"
"Material moving occupations","128","575","1410","35","0"
