"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","25415","156344","117691","300826","26529"
"Male:","13611","79255","54989","156862","13498"
"Management, business, science, and arts occupations:","4023","28396","36282","56179","5397"
"Management, business, and financial occupations:","1606","11316","18079","24654","1919"
"Management occupations","940","6310","10578","14934","1126"
"Business and financial operations occupations","666","5006","7501","9720","793"
"Computer, engineering, and science occupations:","415","8439","7697","13368","1214"
"Computer and mathematical occupations","383","6203","5299","9514","774"
"Architecture and engineering occupations","32","1824","1023","3181","294"
"Life, physical, and social science occupations","0","412","1375","673","146"
"Education, legal, community service, arts, and media occupations:","958","5648","6429","9560","1021"
"Community and social service occupations","304","215","81","2040","426"
"Legal occupations","0","498","1989","907","27"
"Educational instruction, and library occupations","391","1558","1805","2951","384"
"Arts, design, entertainment, sports, and media occupations","263","3377","2554","3662","184"
"Healthcare practitioners and technical occupations:","1044","2993","4077","8597","1243"
"Health diagnosing and treating practitioners and other technical occupations","969","1883","3705","5204","813"
"Health technologists and technicians","75","1110","372","3393","430"
"Service occupations:","3433","18901","7745","29052","2654"
"Healthcare support occupations","649","2695","1209","2548","664"
"Protective service occupations:","932","1180","244","5640","318"
"Firefighting and prevention, and other protective service workers including supervisors","700","668","191","3339","140"
"Law enforcement workers including supervisors","232","512","53","2301","178"
"Food preparation and serving related occupations","1194","12513","4948","13485","906"
"Building and grounds cleaning and maintenance occupations","408","1277","183","2828","585"
"Personal care and service occupations","250","1236","1161","4551","181"
"Sales and office occupations:","2314","12238","7491","26121","2412"
"Sales and related occupations","1843","8103","5137","15508","1386"
"Office and administrative support occupations","471","4135","2354","10613","1026"
"Natural resources, construction, and maintenance occupations:","509","6615","260","14268","1043"
"Farming, fishing, and forestry occupations","0","0","0","0","0"
"Construction and extraction occupations","149","4740","216","10248","779"
"Installation, maintenance, and repair occupations","360","1875","44","4020","264"
"Production, transportation, and material moving occupations:","3332","13105","3211","31242","1992"
"Production occupations","755","2062","1043","6138","185"
"Transportation occupations","2513","9776","1725","22206","1498"
"Material moving occupations","64","1267","443","2898","309"
"Female:","11804","77089","62702","143964","13031"
"Management, business, science, and arts occupations:","5113","35617","44163","59618","5963"
"Management, business, and financial occupations:","1243","12975","21556","21428","1609"
"Management occupations","648","6660","10653","11435","819"
"Business and financial operations occupations","595","6315","10903","9993","790"
"Computer, engineering, and science occupations:","623","4218","6421","5505","481"
"Computer and mathematical occupations","452","2828","3843","3815","481"
"Architecture and engineering occupations","0","946","481","642","0"
"Life, physical, and social science occupations","171","444","2097","1048","0"
"Education, legal, community service, arts, and media occupations:","845","11245","9871","14705","1210"
"Community and social service occupations","153","865","696","1664","334"
"Legal occupations","0","1081","2206","974","0"
"Educational instruction, and library occupations","645","5055","2902","7228","739"
"Arts, design, entertainment, sports, and media occupations","47","4244","4067","4839","137"
"Healthcare practitioners and technical occupations:","2402","7179","6315","17980","2663"
"Health diagnosing and treating practitioners and other technical occupations","2208","5562","5956","14038","2030"
"Health technologists and technicians","194","1617","359","3942","633"
"Service occupations:","3845","22483","7644","43837","3731"
"Healthcare support occupations","1349","13034","3878","16647","1698"
"Protective service occupations:","368","144","264","1231","425"
"Firefighting and prevention, and other protective service workers including supervisors","290","54","264","830","425"
"Law enforcement workers including supervisors","78","90","0","401","0"
"Food preparation and serving related occupations","637","4485","1591","7147","467"
"Building and grounds cleaning and maintenance occupations","597","1714","362","5191","294"
"Personal care and service occupations","894","3106","1549","13621","847"
"Sales and office occupations:","2240","15140","10099","33607","2869"
"Sales and related occupations","1146","8356","4678","15683","1217"
"Office and administrative support occupations","1094","6784","5421","17924","1652"
"Natural resources, construction, and maintenance occupations:","0","259","0","415","204"
"Farming, fishing, and forestry occupations","0","0","0","0","0"
"Construction and extraction occupations","0","160","0","415","0"
"Installation, maintenance, and repair occupations","0","99","0","0","204"
"Production, transportation, and material moving occupations:","606","3590","796","6487","264"
"Production occupations","535","2350","586","4524","126"
"Transportation occupations","71","602","0","827","0"
"Material moving occupations","0","638","210","1136","138"
