"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","222078","370541","110858","203963"
"Male:","103859","158287","50101","91841"
"Management, business, science, and arts occupations:","21690","41186","19841","22751"
"Management, business, and financial occupations:","7367","15348","6667","8002"
"Management occupations","5471","9429","4236","4783"
"Business and financial operations occupations","1896","5919","2431","3219"
"Computer, engineering, and science occupations:","3388","7569","4361","4483"
"Computer and mathematical occupations","2622","5569","1994","2823"
"Architecture and engineering occupations","766","1508","1354","1109"
"Life, physical, and social science occupations","0","492","1013","551"
"Education, legal, community service, arts, and media occupations:","7634","12956","8101","7383"
"Community and social service occupations","3284","3129","1131","2121"
"Legal occupations","366","1179","1266","841"
"Educational instruction, and library occupations","3204","4551","2172","2734"
"Arts, design, entertainment, sports, and media occupations","780","4097","3532","1687"
"Healthcare practitioners and technical occupations:","3301","5313","712","2883"
"Health diagnosing and treating practitioners and other technical occupations","1787","1834","535","807"
"Health technologists and technicians","1514","3479","177","2076"
"Service occupations:","33656","38474","11598","25101"
"Healthcare support occupations","4787","3638","628","2903"
"Protective service occupations:","8157","12481","3874","9388"
"Firefighting and prevention, and other protective service workers including supervisors","7014","8370","2775","6061"
"Law enforcement workers including supervisors","1143","4111","1099","3327"
"Food preparation and serving related occupations","6054","8242","2218","3562"
"Building and grounds cleaning and maintenance occupations","11025","10398","2615","5356"
"Personal care and service occupations","3633","3715","2263","3892"
"Sales and office occupations:","15809","23216","7955","14125"
"Sales and related occupations","7878","11268","4372","5897"
"Office and administrative support occupations","7931","11948","3583","8228"
"Natural resources, construction, and maintenance occupations:","11742","26509","4666","12528"
"Farming, fishing, and forestry occupations","222","0","138","0"
"Construction and extraction occupations","8572","17672","3155","7092"
"Installation, maintenance, and repair occupations","2948","8837","1373","5436"
"Production, transportation, and material moving occupations:","20962","28902","6041","17336"
"Production occupations","3556","4799","328","2338"
"Transportation occupations","11864","16358","3744","10772"
"Material moving occupations","5542","7745","1969","4226"
"Female:","118219","212254","60757","112122"
"Management, business, science, and arts occupations:","34918","85009","25592","44462"
"Management, business, and financial occupations:","10066","23886","8639","12500"
"Management occupations","6000","14318","5745","6769"
"Business and financial operations occupations","4066","9568","2894","5731"
"Computer, engineering, and science occupations:","1610","3967","1873","2103"
"Computer and mathematical occupations","1045","2445","1741","1670"
"Architecture and engineering occupations","381","603","0","333"
"Life, physical, and social science occupations","184","919","132","100"
"Education, legal, community service, arts, and media occupations:","14328","36098","11609","19180"
"Community and social service occupations","5794","10820","2558","6433"
"Legal occupations","1423","2469","1263","1361"
"Educational instruction, and library occupations","5676","19334","5373","10027"
"Arts, design, entertainment, sports, and media occupations","1435","3475","2415","1359"
"Healthcare practitioners and technical occupations:","8914","21058","3471","10679"
"Health diagnosing and treating practitioners and other technical occupations","6029","12660","2108","6489"
"Health technologists and technicians","2885","8398","1363","4190"
"Service occupations:","47695","71541","19553","34187"
"Healthcare support occupations","25274","39251","7557","18517"
"Protective service occupations:","5431","8914","2550","4337"
"Firefighting and prevention, and other protective service workers including supervisors","3905","6054","1794","2642"
"Law enforcement workers including supervisors","1526","2860","756","1695"
"Food preparation and serving related occupations","6040","5596","1883","2365"
"Building and grounds cleaning and maintenance occupations","4752","6418","1950","2767"
"Personal care and service occupations","6198","11362","5613","6201"
"Sales and office occupations:","29584","45544","13593","28843"
"Sales and related occupations","9987","15754","5936","9539"
"Office and administrative support occupations","19597","29790","7657","19304"
"Natural resources, construction, and maintenance occupations:","375","905","652","779"
"Farming, fishing, and forestry occupations","0","0","114","0"
"Construction and extraction occupations","303","662","196","306"
"Installation, maintenance, and repair occupations","72","243","342","473"
"Production, transportation, and material moving occupations:","5647","9255","1367","3851"
"Production occupations","2222","2053","303","857"
"Transportation occupations","2200","5023","539","1977"
"Material moving occupations","1225","2179","525","1017"
