,Label,"Bronx County, New York","Kings County, New York","New York County, New York","Queens County, New York","Richmond County, New York",year,race,Gender
0,Total:,22160,121664,98647,248187,16530.0,2010,Asian Alone,Total
1,Male:,12283,66638,44989,135390,8822.0,2010,Asian Alone,Total Male
2,"Management, business, science, and arts occupations:",3201,15689,28593,41250,4012.0,2010,Asian Alone,Male
3,"Management, business, and financial occupations:",1103,5399,12780,19782,1419.0,2010,Asian Alone,Male
4,Management occupations,458,3330,7144,11371,719.0,2010,Asian Alone,Male
5,Business and financial operations occupations,645,2069,5636,8411,700.0,2010,Asian Alone,Male
6,"Computer, engineering, and science occupations:",902,3650,5665,8594,820.0,2010,Asian Alone,Male
7,Computer and mathematical occupations,544,2635,3904,6097,472.0,2010,Asian Alone,Male
8,Architecture and engineering occupations,271,872,402,1773,298.0,2010,Asian Alone,Male
9,"Life, physical, and social science occupations",87,143,1359,724,50.0,2010,Asian Alone,Male
10,"Education, legal, community service, arts, and media occupations:",525,4319,7061,6744,717.0,2010,Asian Alone,Male
11,Community and social service occupations,118,340,306,1405,0.0,2010,Asian Alone,Male
12,Legal occupations,0,395,2117,1199,69.0,2010,Asian Alone,Male
13,"Education, training, and library occupations",407,1893,1438,1700,462.0,2010,Asian Alone,Male
14,"Arts, design, entertainment, sports, and media occupations",0,1691,3200,2440,186.0,2010,Asian Alone,Male
15,Healthcare practitioners and technical occupations:,671,2321,3087,6130,1056.0,2010,Asian Alone,Male
16,Health diagnosing and treating practitioners and other technical occupations,514,1775,2746,4658,921.0,2010,Asian Alone,Male
17,Health technologists and technicians,157,546,341,1472,135.0,2010,Asian Alone,Male
18,Service occupations:,3083,18449,5275,24910,1681.0,2010,Asian Alone,Male
19,Healthcare support occupations,48,755,142,2581,370.0,2010,Asian Alone,Male
20,Protective service occupations:,798,908,219,3185,119.0,2010,Asian Alone,Male
21,"Fire fighting and prevention, and other protective service workers including supervisors",658,536,219,1831,119.0,2010,Asian Alone,Male
22,Law enforcement workers including supervisors,140,372,0,1354,0.0,2010,Asian Alone,Male
23,Food preparation and serving related occupations,1472,14646,3934,13650,952.0,2010,Asian Alone,Male
24,Building and grounds cleaning and maintenance occupations,533,1491,376,2458,50.0,2010,Asian Alone,Male
25,Personal care and service occupations,232,649,604,3036,190.0,2010,Asian Alone,Male
26,Sales and office occupations:,2414,13445,7763,32315,1109.0,2010,Asian Alone,Male
27,Sales and related occupations,1262,6869,5507,20826,573.0,2010,Asian Alone,Male
28,Office and administrative support occupations,1152,6576,2256,11489,536.0,2010,Asian Alone,Male
29,"Natural resources, construction, and maintenance occupations:",1711,6884,1140,11516,1118.0,2010,Asian Alone,Male
30,"Farming, fishing, and forestry occupations",103,0,0,126,86.0,2010,Asian Alone,Male
31,Construction and extraction occupations,1143,5662,977,7498,713.0,2010,Asian Alone,Male
32,"Installation, maintenance, and repair occupations",465,1222,163,3892,319.0,2010,Asian Alone,Male
33,"Production, transportation, and material moving occupations:",1874,12171,2218,25399,902.0,2010,Asian Alone,Male
