,GCP (NYC),GDP (USA)," Payroll-Jobs Growth, SAAR - NYC","Payroll-Jobs Growth, SAAR - USA","PIT Withheld, Growth, NSA - NYC","PIT Withheld, Growth, NSA - USA","Inflation Rate, NSA - NYC","Inflation Rate, NSA - USA","Unemployment Rate, SA - NYC","Unemployment Rate, SA - USA"
1/1/2000,,,3.2%,2.4%,11.2%,,3.0%,3.2%,6.0%,4.0%
4/1/2000,,,3.9%,2.4%,3.8%,,3.0%,3.3%,5.9%,3.9%
7/1/2000,,,0.1%,0.8%,7.0%,,3.2%,3.5%,5.7%,4.0%
10/1/2000,,,3.2%,0.8%,4.8%,,3.2%,3.4%,5.3%,3.9%
1/1/2001,,,-0.1%,0.6%,5.0%,,2.8%,3.4%,5.1%,4.2%
4/1/2001,,,-3.2%,-1.1%,-4.2%,,3.2%,3.4%,5.3%,4.4%
7/1/2001,,,-2.0%,-1.2%,-12.2%,,2.5%,2.7%,6.1%,4.8%
10/1/2001,,,-10.0%,-2.4%,-8.7%,,1.7%,1.9%,7.2%,5.5%
1/1/2002,,,-1.2%,-1.3%,-12.1%,,2.3%,1.3%,7.9%,5.7%
4/1/2002,,,-0.2%,-0.4%,-1.7%,,2.2%,1.3%,8.0%,5.8%
7/1/2002,,,-1.0%,-0.3%,4.7%,,2.6%,1.6%,7.9%,5.7%
10/1/2002,,,-0.1%,0.0%,1.2%,,3.1%,2.2%,8.2%,5.8%
1/1/2003,,,-2.8%,-0.5%,1.6%,5.0%,3.2%,2.9%,8.5%,5.9%
4/1/2003,,,-2.3%,-0.7%,3.9%,4.4%,2.7%,2.1%,8.4%,6.2%
7/1/2003,,,-1.1%,0.0%,8.5%,-5.1%,3.1%,2.2%,8.4%,6.1%
10/1/2003,,,1.6%,0.9%,18.3%,-0.6%,3.2%,1.9%,8.1%,5.8%
1/1/2004,,,0.0%,1.3%,23.5%,2.6%,2.8%,1.8%,7.9%,5.7%
4/1/2004,,,1.5%,2.2%,9.6%,2.6%,4.1%,2.9%,7.4%,5.6%
7/1/2004,,,1.8%,1.0%,9.1%,6.1%,3.5%,2.7%,6.8%,5.4%
10/1/2004,,,0.6%,1.7%,3.7%,6.1%,3.8%,3.3%,6.2%,5.4%
1/1/2005,,,1.5%,1.4%,11.4%,6.7%,4.1%,3.0%,5.9%,5.3%
4/1/2005,,,2.2%,2.2%,3.4%,-0.7%,3.3%,2.9%,5.7%,5.1%
7/1/2005,,,2.1%,2.2%,5.5%,5.0%,4.1%,3.8%,5.8%,5.0%
10/1/2005,,,0.9%,1.4%,7.9%,7.4%,4.0%,3.7%,5.8%,5.0%
1/1/2006,,,1.9%,2.4%,4.4%,8.0%,3.4%,3.6%,5.4%,4.7%
4/1/2006,,,2.4%,1.5%,6.2%,10.2%,4.7%,4.0%,5.2%,4.7%
7/1/2006,,,1.2%,1.3%,1.3%,6.4%,4.3%,3.3%,4.8%,4.6%
10/1/2006,,,3.0%,1.1%,0.9%,8.3%,2.8%,1.9%,4.6%,4.5%
1/1/2007,,,3.0%,1.6%,17.7%,9.5%,2.9%,2.4%,4.7%,4.5%
4/1/2007,,,1.1%,1.0%,9.9%,11.4%,2.5%,2.7%,5.0%,4.5%
7/1/2007,,,1.2%,0.2%,10.5%,8.5%,2.3%,2.4%,5.2%,4.7%
10/1/2007,,,2.9%,0.7%,8.4%,10.5%,3.5%,4.0%,5.2%,4.8%
1/1/2008,,,2.6%,0.1%,6.3%,1.7%,3.7%,4.1%,5.1%,5.0%
4/1/2008,,,0.5%,-1.4%,5.9%,2.4%,4.0%,4.4%,5.2%,5.3%
7/1/2008,,,0.3%,-2.0%,8.7%,3.3%,5.2%,5.3%,5.7%,6.0%
10/1/2008,,,-2.3%,-4.6%,4.9%,-4.0%,2.7%,1.6%,6.6%,6.9%
1/1/2009,,,-4.8%,-6.5%,-19.1%,-11.5%,1.3%,0.0%,8.0%,8.3%
4/1/2009,,,-5.0%,-5.5%,-3.8%,-15.9%,0.0%,-1.2%,9.2%,9.3%
7/1/2009,,,0.5%,-2.9%,-7.2%,-14.5%,-0.9%,-1.6%,9.9%,9.6%
10/1/2009,,,-1.8%,-1.5%,-6.4%,-13.9%,1.4%,1.4%,10.1%,9.9%
1/1/2010,,,1.5%,-0.5%,7.1%,4.5%,2.1%,2.4%,10.0%,9.8%
4/1/2010,,,3.8%,2.0%,10.1%,13.2%,1.9%,1.8%,9.6%,9.7%
7/1/2010,,,-0.8%,-0.1%,1.4%,9.6%,1.4%,1.2%,9.3%,9.5%
10/1/2010,,,2.7%,1.0%,8.9%,17.1%,1.4%,1.3%,9.2%,9.5%
1/1/2011,,,3.2%,1.0%,10.1%,12.3%,2.0%,2.1%,8.9%,9.0%
4/1/2011,,,2.9%,2.1%,1.3%,10.6%,2.9%,3.4%,8.9%,9.1%
7/1/2011,,,2.8%,1.3%,6.0%,10.1%,3.5%,3.8%,9.2%,9.0%
10/1/2011,,,1.0%,1.7%,1.5%,2.3%,3.0%,3.3%,9.5%,8.7%
1/1/2012,,,3.2%,2.4%,-4.9%,3.2%,2.7%,2.8%,9.6%,8.3%
4/1/2012,,,2.5%,1.3%,5.0%,1.2%,1.9%,1.9%,9.6%,8.2%
7/1/2012,,,1.5%,1.2%,4.3%,4.2%,1.4%,1.7%,9.2%,8.0%
10/1/2012,,,1.8%,1.6%,7.2%,16.8%,1.9%,1.9%,9.0%,7.8%
1/1/2013,0.1%,3.6%,2.3%,1.9%,8.2%,2.3%,2.1%,1.7%,9.0%,7.7%
4/1/2013,0.7%,0.5%,3.1%,1.7%,4.4%,5.1%,1.6%,1.4%,8.9%,7.5%
7/1/2013,1.5%,3.2%,2.8%,1.6%,5.2%,9.3%,1.8%,1.6%,8.9%,7.3%
10/1/2013,3.4%,3.2%,3.9%,1.9%,2.9%,-3.7%,1.3%,1.2%,8.5%,7.0%
1/1/2014,-1.6%,-1.1%,2.4%,1.5%,10.3%,9.6%,1.4%,1.4%,8.0%,6.6%
4/1/2014,3.9%,5.5%,3.9%,2.4%,6.6%,7.6%,1.7%,2.1%,7.5%,6.2%
7/1/2014,5.0%,5.0%,3.8%,2.2%,8.8%,4.4%,1.3%,1.8%,7.0%,6.1%
10/1/2014,3.7%,2.3%,3.4%,2.3%,11.7%,8.2%,0.8%,1.2%,6.6%,5.7%
1/1/2015,2.5%,3.2%,2.6%,1.9%,3.3%,4.9%,-0.2%,-0.1%,6.3%,5.5%
4/1/2015,2.4%,3.0%,2.7%,2.0%,9.1%,5.2%,0.0%,0.0%,5.8%,5.4%
