"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Female!!Estimate"
"Population 18 to 24 years","1,999,490","1,013,012","986,478","166,397","84,326","82,071","259,288","129,012","130,276","164,183","73,856","90,327","214,397","108,823","105,574","44,780","22,726","22,054"
"Less than high school graduate","13.0%","14.9%","11.1%","25.4%","28.4%","22.4%","16.5%","18.8%","14.1%","8.9%","11.7%","6.6%","13.2%","15.1%","11.3%","10.1%","9.5%","10.6%"
"High school graduate (includes equivalency)","25.0%","27.6%","22.3%","25.2%","28.4%","21.8%","25.5%","25.1%","26.0%","20.1%","24.3%","16.7%","23.8%","26.3%","21.2%","29.0%","28.3%","29.7%"
"Some college or associate's degree","47.4%","45.0%","49.9%","43.1%","38.4%","47.9%","41.9%","41.9%","41.9%","37.7%","32.9%","41.6%","48.2%","46.4%","50.0%","43.4%","45.5%","41.2%"
"Bachelor's degree or higher","14.6%","12.5%","16.7%","6.3%","4.7%","7.8%","16.1%","14.2%","18.0%","33.3%","31.1%","35.1%","14.8%","12.2%","17.5%","17.5%","16.7%","18.4%"
"Population 25 years and over","13,309,761","6,295,064","7,014,697","873,653","390,215","483,438","1,703,372","778,090","925,282","1,213,989","568,070","645,919","1,591,957","755,471","836,486","319,323","150,161","169,162"
"Less than 9th grade","6.7%","6.6%","6.7%","14.9%","14.6%","15.2%","10.5%","10.5%","10.4%","7.2%","6.7%","7.7%","10.9%","10.5%","11.2%","4.9%","5.3%","4.4%"
"9th to 12th grade, no diploma","8.0%","8.5%","7.6%","15.5%","16.0%","15.0%","11.1%","11.5%","10.7%","6.6%","6.9%","6.4%","9.5%","10.0%","9.0%","6.8%","6.9%","6.7%"
"High school graduate (includes equivalency)","26.9%","27.4%","26.4%","27.0%","28.8%","25.6%","26.7%","26.5%","26.8%","12.5%","13.3%","11.8%","27.0%","27.0%","27.0%","30.9%","30.8%","30.9%"
"Some college, no degree","16.5%","17.1%","16.1%","17.9%","18.4%","17.6%","14.3%","14.8%","13.9%","10.8%","11.2%","10.5%","15.0%","15.8%","14.4%","19.8%","20.9%","18.8%"
"Associate's degree","8.5%","7.6%","9.3%","6.5%","6.1%","6.8%","6.2%","5.5%","6.8%","3.9%","2.9%","4.7%","7.8%","7.1%","8.4%","8.2%","7.9%","8.5%"
"Bachelor's degree","19.0%","19.3%","18.8%","12.3%","10.9%","13.4%","19.2%","19.5%","18.9%","31.1%","31.7%","30.5%","19.1%","19.4%","18.9%","17.6%","18.8%","16.4%"
"Graduate or professional degree","14.4%","13.6%","15.1%","5.9%","5.2%","6.4%","12.2%","11.7%","12.6%","27.9%","27.3%","28.4%","10.7%","10.2%","11.1%","11.9%","9.4%","14.2%"
"Percent high school graduate or higher","85.3%","84.9%","85.6%","69.6%","69.4%","69.8%","78.5%","78.0%","78.9%","86.2%","86.4%","86.0%","79.7%","79.4%","79.8%","88.3%","87.8%","88.9%"
