"Label","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Males!!Estimate","Kings County, New York!!Percent Males!!Estimate","Kings County, New York!!Females!!Estimate","Kings County, New York!!Percent Females!!Estimate","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Males!!Estimate","New York!!Percent Males!!Estimate","New York!!Females!!Estimate","New York!!Percent Females!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Males!!Estimate","Richmond County, New York!!Percent Males!!Estimate","Richmond County, New York!!Females!!Estimate","Richmond County, New York!!Percent Females!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Males!!Estimate","Queens County, New York!!Percent Males!!Estimate","Queens County, New York!!Females!!Estimate","Queens County, New York!!Percent Females!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Males!!Estimate","New York County, New York!!Percent Males!!Estimate","New York County, New York!!Females!!Estimate","New York County, New York!!Percent Females!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Males!!Estimate","Bronx County, New York!!Percent Males!!Estimate","Bronx County, New York!!Females!!Estimate","Bronx County, New York!!Percent Females!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 18 to 24 years","228,226","(X)","111,161","(X)","117,065","(X)","1,912,311","(X)","961,582","(X)","950,729","(X)","41,202","(X)","20,635","(X)","20,567","(X)","195,366","(X)","97,517","(X)","97,849","(X)","152,197","(X)","69,207","(X)","82,990","(X)","156,130","(X)","78,634","(X)","77,496","(X)"
"    Less than high school graduate","29,774","13.0%","16,891","15.2%","12,883","11.0%","224,093","11.7%","126,570","13.2%","97,523","10.3%","5,615","13.6%","2,905","14.1%","2,710","13.2%","19,510","10.0%","11,717","12.0%","7,793","8.0%","12,810","8.4%","5,902","8.5%","6,908","8.3%","34,398","22.0%","20,517","26.1%","13,881","17.9%"
"    High school graduate (includes equivalency)","61,064","26.8%","31,406","28.3%","29,658","25.3%","502,339","26.3%","274,237","28.5%","228,102","24.0%","11,182","27.1%","5,670","27.5%","5,512","26.8%","50,237","25.7%","26,719","27.4%","23,518","24.0%","25,777","16.9%","13,584","19.6%","12,193","14.7%","40,786","26.1%","21,249","27.0%","19,537","25.2%"
"    Some college or associate's degree","91,983","40.3%","44,882","40.4%","47,101","40.2%","875,108","45.8%","429,762","44.7%","445,346","46.8%","19,279","46.8%","10,017","48.5%","9,262","45.0%","93,894","48.1%","46,148","47.3%","47,746","48.8%","62,022","40.8%","27,548","39.8%","34,474","41.5%","69,093","44.3%","32,123","40.9%","36,970","47.7%"
"    Bachelor's degree or higher","45,405","19.9%","17,982","16.2%","27,423","23.4%","310,771","16.3%","131,013","13.6%","179,758","18.9%","5,126","12.4%","2,043","9.9%","3,083","15.0%","31,725","16.2%","12,933","13.3%","18,792","19.2%","51,588","33.9%","22,173","32.0%","29,415","35.4%","11,853","7.6%","4,745","6.0%","7,108","9.2%"
"Population 25 years and over","1,791,538","(X)","824,454","(X)","967,084","(X)","13,653,592","(X)","6,484,900","(X)","7,168,692","(X)","329,911","(X)","155,967","(X)","173,944","(X)","1,661,279","(X)","790,302","(X)","870,977","(X)","1,250,801","(X)","588,973","(X)","661,828","(X)","931,269","(X)","419,936","(X)","511,333","(X)"
"    Less than 9th grade","159,612","8.9%","72,098","8.7%","87,514","9.0%","865,976","6.3%","409,984","6.3%","455,992","6.4%","15,691","4.8%","7,268","4.7%","8,423","4.8%","167,860","10.1%","74,995","9.5%","92,865","10.7%","89,756","7.2%","37,680","6.4%","52,076","7.9%","130,366","14.0%","60,566","14.4%","69,800","13.7%"
"    9th to 12th grade, no diploma","176,092","9.8%","85,583","10.4%","90,509","9.4%","1,002,316","7.3%","501,963","7.7%","500,353","7.0%","22,067","6.7%","10,516","6.7%","11,551","6.6%","138,116","8.3%","63,959","8.1%","74,157","8.5%","70,662","5.6%","37,249","6.3%","33,413","5.0%","130,651","14.0%","60,170","14.3%","70,481","13.8%"
"    High school graduate (includes equivalency)","450,548","25.1%","212,240","25.7%","238,308","24.6%","3,574,814","26.2%","1,750,826","27.0%","1,823,988","25.4%","100,582","30.5%","44,749","28.7%","55,833","32.1%","463,579","27.9%","228,598","28.9%","234,981","27.0%","158,391","12.7%","73,906","12.5%","84,485","12.8%","266,034","28.6%","131,101","31.2%","134,933","26.4%"
