"Label","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Male!!Estimate","New York!!Percent Male!!Estimate","New York!!Female!!Estimate","New York!!Percent Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Percent Male!!Estimate","Bronx County, New York!!Female!!Estimate","Bronx County, New York!!Percent Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Percent Male!!Estimate","Kings County, New York!!Female!!Estimate","Kings County, New York!!Percent Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Percent Male!!Estimate","New York County, New York!!Female!!Estimate","New York County, New York!!Percent Female!!Estimate","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Percent Male!!Estimate","Queens County, New York!!Female!!Estimate","Queens County, New York!!Percent Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Percent Male!!Estimate","Richmond County, New York!!Female!!Estimate","Richmond County, New York!!Percent Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 18 to 24 years","1,874,770","(X)","948,690","(X)","926,080","(X)","152,674","(X)","77,236","(X)","75,438","(X)","222,446","(X)","108,441","(X)","114,005","(X)","151,885","(X)","69,053","(X)","82,832","(X)","189,306","(X)","93,989","(X)","95,317","(X)","40,537","(X)","20,497","(X)","20,040","(X)"
"    Less than high school graduate","212,967","11.4%","126,246","13.3%","86,721","9.4%","31,743","20.8%","18,867","24.4%","12,876","17.1%","30,441","13.7%","16,898","15.6%","13,543","11.9%","12,776","8.4%","8,543","12.4%","4,233","5.1%","21,622","11.4%","12,159","12.9%","9,463","9.9%","3,912","9.7%","1,749","8.5%","2,163","10.8%"
"    High school graduate (includes equivalency)","492,130","26.3%","270,656","28.5%","221,474","23.9%","41,491","27.2%","21,414","27.7%","20,077","26.6%","55,400","24.9%","27,993","25.8%","27,407","24.0%","28,479","18.8%","14,896","21.6%","13,583","16.4%","42,548","22.5%","26,029","27.7%","16,519","17.3%","11,013","27.2%","6,717","32.8%","4,296","21.4%"
"    Some college or associate's degree","852,254","45.5%","418,226","44.1%","434,028","46.9%","65,834","43.1%","32,217","41.7%","33,617","44.6%","95,406","42.9%","47,413","43.7%","47,993","42.1%","58,658","38.6%","23,136","33.5%","35,522","42.9%","95,372","50.4%","45,497","48.4%","49,875","52.3%","18,151","44.8%","8,396","41.0%","9,755","48.7%"
"    Bachelor's degree or higher","317,419","16.9%","133,562","14.1%","183,857","19.9%","13,606","8.9%","4,738","6.1%","8,868","11.8%","41,199","18.5%","16,137","14.9%","25,062","22.0%","51,972","34.2%","22,478","32.6%","29,494","35.6%","29,764","15.7%","10,304","11.0%","19,460","20.4%","7,461","18.4%","3,635","17.7%","3,826","19.1%"
"Population 25 years and over","13,821,132","(X)","6,566,617","(X)","7,254,515","(X)","953,271","(X)","430,427","(X)","522,844","(X)","1,820,860","(X)","836,682","(X)","984,178","(X)","1,273,269","(X)","599,466","(X)","673,803","(X)","1,695,302","(X)","806,682","(X)","888,620","(X)","334,079","(X)","157,914","(X)","176,165","(X)"
"    Less than 9th grade","842,286","6.1%","391,317","6.0%","450,969","6.2%","131,274","13.8%","56,980","13.2%","74,294","14.2%","156,784","8.6%","69,848","8.3%","86,936","8.8%","87,668","6.9%","39,584","6.6%","48,084","7.1%","166,371","9.8%","69,982","8.7%","96,389","10.8%","17,111","5.1%","7,848","5.0%","9,263","5.3%"
"    9th to 12th grade, no diploma","1,012,659","7.3%","516,788","7.9%","495,871","6.8%","136,384","14.3%","62,781","14.6%","73,603","14.1%","154,613","8.5%","74,096","8.9%","80,517","8.2%","90,047","7.1%","46,593","7.8%","43,454","6.4%","138,613","8.2%","69,834","8.7%","68,779","7.7%","21,920","6.6%","10,086","6.4%","11,834","6.7%"
"    High school graduate (includes equivalency)","3,634,065","26.3%","1,799,580","27.4%","1,834,485","25.3%","263,368","27.6%","132,523","30.8%","130,845","25.0%","483,107","26.5%","231,962","27.7%","251,145","25.5%","153,590","12.1%","78,571","13.1%","75,019","11.1%","493,794","29.1%","242,710","30.1%","251,084","28.3%","100,730","30.2%","46,921","29.7%","53,809","30.5%"
"    Some college, no degree","2,133,828","15.4%","1,043,342","15.9%","1,090,486","15.0%","165,831","17.4%","76,549","17.8%","89,282","17.1%","235,859","13.0%","107,121","12.8%","128,738","13.1%","118,317","9.3%","55,829","9.3%","62,488","9.3%","244,086","14.4%","123,134","15.3%","120,952","13.6%","57,920","17.3%","30,560","19.4%","27,360","15.5%"
"    Associate's degree","1,218,132","8.8%","526,111","8.0%","692,021","9.5%","69,292","7.3%","26,918","6.3%","42,374","8.1%","114,953","6.3%","47,964","5.7%","66,989","6.8%","52,646","4.1%","20,696","3.5%","31,950","4.7%","128,799","7.6%","57,483","7.1%","71,316","8.0%","25,759","7.7%","12,126","7.7%","13,633","7.7%"
"    Bachelor's degree","2,794,920","20.2%","1,327,412","20.2%","1,467,508","20.2%","119,914","12.6%","48,625","11.3%","71,289","13.6%","402,835","22.1%","190,282","22.7%","212,553","21.6%","389,667","30.6%","178,395","29.8%","211,272","31.4%","335,990","19.8%","159,690","19.8%","176,300","19.8%","66,108","19.8%","32,944","20.9%","33,164","18.8%"
"    Graduate or professional degree","2,185,242","15.8%","962,067","14.7%","1,223,175","16.9%","67,208","7.1%","26,051","6.1%","41,157","7.9%","272,709","15.0%","115,409","13.8%","157,300","16.0%","381,334","29.9%","179,798","30.0%","201,536","29.9%","187,649","11.1%","83,849","10.4%","103,800","11.7%","44,531","13.3%","17,429","11.0%","27,102","15.4%"
"Percent high school graduate or higher","(X)","86.6%","(X)","86.2%","(X)","86.9%","(X)","71.9%","(X)","72.2%","(X)","71.7%","(X)","82.9%","(X)","82.8%","(X)","83.0%","(X)","86.0%","(X)","85.6%","(X)","86.4%","(X)","82.0%","(X)","82.7%","(X)","81.4%","(X)","88.3%","(X)","88.6%","(X)","88.0%"
"Percent bachelor's degree or higher","(X)","36.0%","(X)","34.9%","(X)","37.1%","(X)","19.6%","(X)","17.3%","(X)","21.5%","(X)","37.1%","(X)","36.5%","(X)","37.6%","(X)","60.6%","(X)","59.8%","(X)","61.3%","(X)","30.9%","(X)","30.2%","(X)","31.5%","(X)","33.1%","(X)","31.9%","(X)","34.2%"
"Population 25 to 34 years","2,923,367","(X)","1,459,057","(X)","1,464,310","(X)","237,759","(X)","115,434","(X)","122,325","(X)","488,903","(X)","236,992","(X)","251,911","(X)","374,994","(X)","180,587","(X)","194,407","(X)","386,253","(X)","192,826","(X)","193,427","(X)","64,076","(X)","32,268","(X)","31,808","(X)"
"    High school graduate or higher","2,651,959","90.7%","1,305,826","89.5%","1,346,133","91.9%","193,396","81.3%","92,881","80.5%","100,515","82.2%","445,844","91.2%","213,273","90.0%","232,571","92.3%","350,596","93.5%","166,674","92.3%","183,922","94.6%","350,856","90.8%","174,389","90.4%","176,467","91.2%","58,824","91.8%","29,804","92.4%","29,020","91.2%"
"    Bachelor's degree or higher","1,311,673","44.9%","581,597","39.9%","730,076","49.9%","55,527","23.4%","22,096","19.1%","33,431","27.3%","256,476","52.5%","116,731","49.3%","139,745","55.5%","278,436","74.3%","125,830","69.7%","152,606","78.5%","169,326","43.8%","75,532","39.2%","93,794","48.5%","27,431","42.8%","11,167","34.6%","16,264","51.1%"
"Population 35 to 44 years","2,471,713","(X)","1,215,912","(X)","1,255,801","(X)","186,598","(X)","86,057","(X)","100,541","(X)","367,676","(X)","176,560","(X)","191,116","(X)","238,266","(X)","118,376","(X)","119,890","(X)","325,972","(X)","161,447","(X)","164,525","(X)","61,066","(X)","29,585","(X)","31,481","(X)"
"    High school graduate or higher","2,174,063","88.0%","1,061,482","87.3%","1,112,581","88.6%","135,702","72.7%","63,381","73.7%","72,321","71.9%","320,706","87.2%","152,086","86.1%","168,620","88.2%","215,225","90.3%","106,045","89.6%","109,180","91.1%","280,217","86.0%","138,776","86.0%","141,441","86.0%","54,982","90.0%","26,915","91.0%","28,067","89.2%"
"    Bachelor's degree or higher","1,018,700","41.2%","458,555","37.7%","560,145","44.6%","35,884","19.2%","14,951","17.4%","20,933","20.8%","159,548","43.4%","74,281","42.1%","85,267","44.6%","154,688","64.9%","73,262","61.9%","81,426","67.9%","115,091","35.3%","52,590","32.6%","62,501","38.0%","26,845","44.0%","11,760","39.7%","15,085","47.9%"
"Population 45 to 64 years","5,265,003","(X)","2,538,288","(X)","2,726,715","(X)","347,206","(X)","158,042","(X)","189,164","(X)","607,298","(X)","277,798","(X)","329,500","(X)","393,786","(X)","191,950","(X)","201,836","(X)","628,123","(X)","303,249","(X)","324,874","(X)","133,176","(X)","63,532","(X)","69,644","(X)"
"    High school graduate or higher","4,587,028","87.1%","2,187,545","86.2%","2,399,483","88.0%","248,728","71.6%","111,593","70.6%","137,135","72.5%","490,799","80.8%","223,125","80.3%","267,674","81.2%","327,054","83.1%","158,083","82.4%","168,971","83.7%","508,214","80.9%","245,318","80.9%","262,896","80.9%","118,218","88.8%","55,946","88.1%","62,272","89.4%"
"    Bachelor's degree or higher","1,748,865","33.2%","806,921","31.8%","941,944","34.5%","66,854","19.3%","25,710","16.3%","41,144","21.8%","174,633","28.8%","76,694","27.6%","97,939","29.7%","214,075","54.4%","103,431","53.9%","110,644","54.8%","161,743","25.8%","76,865","25.3%","84,878","26.1%","41,164","30.9%","18,581","29.2%","22,583","32.4%"
"Population 65 years and over","3,161,049","(X)","1,353,360","(X)","1,807,689","(X)","181,708","(X)","70,894","(X)","110,814","(X)","356,983","(X)","145,332","(X)","211,651","(X)","266,223","(X)","108,553","(X)","157,670","(X)","354,954","(X)","149,160","(X)","205,794","(X)","75,761","(X)","32,529","(X)","43,232","(X)"
"    High school graduate or higher","2,553,137","80.8%","1,103,659","81.5%","1,449,478","80.2%","107,787","59.3%","42,811","60.4%","64,976","58.6%","252,114","70.6%","104,254","71.7%","147,860","69.9%","202,679","76.1%","82,487","76.0%","120,192","76.2%","251,031","70.7%","108,383","72.7%","142,648","69.3%","63,024","83.2%","27,315","84.0%","35,709","82.6%"
"    Bachelor's degree or higher","900,924","28.5%","442,406","32.7%","458,518","25.4%","28,857","15.9%","11,919","16.8%","16,938","15.3%","84,887","23.8%","37,985","26.1%","46,902","22.2%","123,802","46.5%","55,670","51.3%","68,132","43.2%","77,479","21.8%","38,552","25.8%","38,927","18.9%","15,199","20.1%","8,865","27.3%","6,334","14.7%"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","9,034,087","(X)","4,367,739","(X)","4,666,348","(X)","232,858","(X)","110,225","(X)","122,633","(X)","802,233","(X)","387,889","(X)","414,344","(X)","743,972","(X)","361,152","(X)","382,820","(X)","664,072","(X)","323,375","(X)","340,697","(X)","252,900","(X)","121,216","(X)","131,684","(X)"
"        High school graduate or higher","8,238,919","91.2%","3,954,878","90.5%","4,284,041","91.8%","174,415","74.9%","83,434","75.7%","90,981","74.2%","713,791","89.0%","343,766","88.6%","370,025","89.3%","703,219","94.5%","341,363","94.5%","361,856","94.5%","572,187","86.2%","278,151","86.0%","294,036","86.3%","229,590","90.8%","110,391","91.1%","119,199","90.5%"
"        Bachelor's degree or higher","3,656,815","40.5%","1,725,969","39.5%","1,930,846","41.4%","60,499","26.0%","27,424","24.9%","33,075","27.0%","408,491","50.9%","194,565","50.2%","213,926","51.6%","569,868","76.6%","275,449","76.3%","294,419","76.9%","240,447","36.2%","115,111","35.6%","125,336","36.8%","86,279","34.1%","40,061","33.0%","46,218","35.1%"
"White alone, not Hispanic or Latino","8,022,627","(X)","3,867,143","(X)","4,155,484","(X)","101,864","(X)","48,618","(X)","53,246","(X)","675,204","(X)","326,513","(X)","348,691","(X)","630,114","(X)","306,718","(X)","323,396","(X)","458,814","(X)","223,088","(X)","235,726","(X)","215,582","(X)","102,505","(X)","113,077","(X)"
"    High school graduate or higher","7,493,452","93.4%","3,588,704","92.8%","3,904,748","94.0%","88,870","87.2%","41,733","85.8%","47,137","88.5%","618,480","91.6%","298,173","91.3%","320,307","91.9%","619,133","98.3%","300,162","97.9%","318,971","98.6%","418,148","91.1%","204,075","91.5%","214,073","90.8%","200,590","93.0%","95,336","93.0%","105,254","93.1%"
"    Bachelor's degree or higher","3,427,375","42.7%","1,624,737","42.0%","1,802,638","43.4%","39,382","38.7%","18,234","37.5%","21,148","39.7%","378,230","56.0%","181,033","55.4%","197,197","56.6%","527,125","83.7%","255,126","83.2%","271,999","84.1%","201,994","44.0%","98,074","44.0%","103,920","44.1%","80,340","37.3%","37,770","36.8%","42,570","37.6%"
"Black alone","2,098,464","(X)","939,187","(X)","1,159,277","(X)","336,037","(X)","150,832","(X)","185,205","(X)","587,275","(X)","246,095","(X)","341,180","(X)","182,348","(X)","82,922","(X)","99,426","(X)","301,515","(X)","132,387","(X)","169,128","(X)","31,414","(X)","13,659","(X)","17,755","(X)"
"    High school graduate or higher","1,750,419","83.4%","769,324","81.9%","981,095","84.6%","265,697","79.1%","116,751","77.4%","148,946","80.4%","503,980","85.8%","209,487","85.1%","294,493","86.3%","143,811","78.9%","62,478","75.3%","81,333","81.8%","260,339","86.3%","113,915","86.0%","146,424","86.6%","26,817","85.4%","11,757","86.1%","15,060","84.8%"
"    Bachelor's degree or higher","501,805","23.9%","194,710","20.7%","307,095","26.5%","71,438","21.3%","25,255","16.7%","46,183","24.9%","142,763","24.3%","54,112","22.0%","88,651","26.0%","55,461","30.4%","23,054","27.8%","32,407","32.6%","75,140","24.9%","28,043","21.2%","47,097","27.8%","8,626","27.5%","3,110","22.8%","5,516","31.1%"
"American Indian or Alaska Native alone","52,108","(X)","25,311","(X)","26,797","(X)","8,180","(X)","3,810","(X)","4,370","(X)","5,348","(X)","2,000","(X)","3,348","(X)","N","(X)","N","(X)","N","(X)","6,348","(X)","3,535","(X)","2,813","(X)","N","(X)","N","(X)","N","(X)"
"    High school graduate or higher","37,888","72.7%","18,327","72.4%","19,561","73.0%","5,652","69.1%","2,762","72.5%","2,890","66.1%","4,021","75.2%","1,105","55.3%","2,916","87.1%","N","N","N","N","N","N","4,462","70.3%","2,453","69.4%","2,009","71.4%","N","N","N","N","N","N"
"    Bachelor's degree or higher","8,686","16.7%","3,996","15.8%","4,690","17.5%","1,660","20.3%","677","17.8%","983","22.5%","1,378","25.8%","624","31.2%","754","22.5%","N","N","N","N","N","N","895","14.1%","437","12.4%","458","16.3%","N","N","N","N","N","N"
"Asian alone","1,238,032","(X)","573,818","(X)","664,214","(X)","40,540","(X)","18,940","(X)","21,600","(X)","231,400","(X)","109,561","(X)","121,839","(X)","164,649","(X)","70,449","(X)","94,200","(X)","455,519","(X)","214,793","(X)","240,726","(X)","32,951","(X)","15,369","(X)","17,582","(X)"
