"Label","Queens County, New York!!Total!!Estimate","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Male!!Estimate","Queens County, New York!!Percent Male!!Estimate","Queens County, New York!!Female!!Estimate","Queens County, New York!!Percent Female!!Estimate","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Male!!Estimate","Bronx County, New York!!Percent Male!!Estimate","Bronx County, New York!!Female!!Estimate","Bronx County, New York!!Percent Female!!Estimate","New York County, New York!!Total!!Estimate","New York County, New York!!Percent!!Estimate","New York County, New York!!Male!!Estimate","New York County, New York!!Percent Male!!Estimate","New York County, New York!!Female!!Estimate","New York County, New York!!Percent Female!!Estimate","Kings County, New York!!Total!!Estimate","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Male!!Estimate","Kings County, New York!!Percent Male!!Estimate","Kings County, New York!!Female!!Estimate","Kings County, New York!!Percent Female!!Estimate","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Male!!Estimate","Richmond County, New York!!Percent Male!!Estimate","Richmond County, New York!!Female!!Estimate","Richmond County, New York!!Percent Female!!Estimate","New York!!Total!!Estimate","New York!!Percent!!Estimate","New York!!Male!!Estimate","New York!!Percent Male!!Estimate","New York!!Female!!Estimate","New York!!Percent Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","173,996","(X)","86,444","(X)","87,552","(X)","142,692","(X)","71,622","(X)","71,070","(X)","145,884","(X)","65,432","(X)","80,452","(X)","208,684","(X)","101,146","(X)","107,538","(X)","39,491","(X)","20,011","(X)","19,480","(X)","1,805,181","(X)","904,485","(X)","900,696","(X)"
"        Less than high school graduate","19,484","11.2%","10,939","12.7%","8,545","9.8%","29,530","20.7%","16,537","23.1%","12,993","18.3%","10,761","7.4%","6,433","9.8%","4,328","5.4%","26,688","12.8%","16,594","16.4%","10,094","9.4%","2,889","7.3%","1,398","7.0%","1,491","7.7%","198,475","11.0%","113,787","12.6%","84,688","9.4%"
"        High school graduate (includes equivalency)","42,373","24.4%","22,729","26.3%","19,644","22.4%","41,272","28.9%","21,751","30.4%","19,521","27.5%","25,760","17.7%","12,157","18.6%","13,603","16.9%","56,995","27.3%","28,124","27.8%","28,871","26.8%","12,343","31.3%","6,196","31.0%","6,147","31.6%","490,266","27.2%","264,818","29.3%","225,448","25.0%"
"        Some college or associate's degree","85,388","49.1%","42,097","48.7%","43,291","49.4%","59,607","41.8%","28,284","39.5%","31,323","44.1%","59,170","40.6%","25,604","39.1%","33,566","41.7%","85,008","40.7%","40,633","40.2%","44,375","41.3%","14,388","36.4%","7,316","36.6%","7,072","36.3%","811,447","45.0%","397,752","44.0%","413,695","45.9%"
"        Bachelor's degree or higher","26,751","15.4%","10,679","12.4%","16,072","18.4%","12,283","8.6%","5,050","7.1%","7,233","10.2%","50,193","34.4%","21,238","32.5%","28,955","36.0%","39,993","19.2%","15,795","15.6%","24,198","22.5%","9,871","25.0%","5,101","25.5%","4,770","24.5%","304,993","16.9%","128,128","14.2%","176,865","19.6%"
"    Population 25 years and over","1,646,542","(X)","784,176","(X)","862,366","(X)","934,391","(X)","421,981","(X)","512,410","(X)","1,249,838","(X)","587,725","(X)","662,113","(X)","1,785,323","(X)","821,493","(X)","963,830","(X)","332,651","(X)","157,452","(X)","175,199","(X)","13,672,343","(X)","6,507,052","(X)","7,165,291","(X)"
"        Less than 9th grade","160,430","9.7%","72,441","9.2%","87,989","10.2%","122,183","13.1%","52,599","12.5%","69,584","13.6%","89,293","7.1%","34,484","5.9%","54,809","8.3%","153,362","8.6%","71,398","8.7%","81,964","8.5%","19,446","5.8%","8,366","5.3%","11,080","6.3%","827,890","6.1%","386,441","5.9%","441,449","6.2%"
"        9th to 12th grade, no diploma","127,941","7.8%","64,265","8.2%","63,676","7.4%","126,904","13.6%","58,085","13.8%","68,819","13.4%","64,478","5.2%","34,465","5.9%","30,013","4.5%","142,959","8.0%","66,661","8.1%","76,298","7.9%","21,401","6.4%","11,197","7.1%","10,204","5.8%","929,474","6.8%","467,360","7.2%","462,114","6.4%"
"        High school graduate (includes equivalency)","443,283","26.9%","218,058","27.8%","225,225","26.1%","258,466","27.7%","131,387","31.1%","127,079","24.8%","163,301","13.1%","80,619","13.7%","82,682","12.5%","460,930","25.8%","220,239","26.8%","240,691","25.0%","102,648","30.9%","51,003","32.4%","51,645","29.5%","3,546,789","25.9%","1,759,471","27.0%","1,787,318","24.9%"
