"Label","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate"
"Population 16 years and over with earnings","10,136,122","5,216,128","4,919,994"
"Median earnings (dollars)","33,190","38,724","29,693"
"Full-time, year-round workers with earnings","6,434,149","3,588,872","2,845,277"
"$1 to $9,999 or loss","1.9%","1.7%","2.2%"
"$10,000 to $14,999","3.7%","3.2%","4.3%"
"$15,000 to $24,999","12.6%","11.9%","13.4%"
"$25,000 to $34,999","14.4%","12.9%","16.3%"
"$35,000 to $49,999","19.1%","17.5%","21.1%"
"$50,000 to $64,999","15.6%","15.6%","15.5%"
"$65,000 to $74,999","6.9%","7.1%","6.7%"
"$75,000 to $99,999","11.1%","11.8%","10.3%"
"$100,000 or more","14.7%","18.3%","10.2%"
"Median earnings (dollars)","(X)","51,274","43,000"
"Mean earnings (dollars)","65,236","73,130","55,280"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","",""
"    Population 25 years and over with earnings","39,697","44,897","33,885"
"    Less than high school graduate","19,401","22,123","15,450"
"    High school graduate (includes equivalency)","29,549","34,524","23,221"
"    Some college or associate's degree","36,511","42,404","31,415"
"    Bachelor's degree","52,278","61,890","46,073"
"    Graduate or professional degree","69,397","82,052","60,896"
"PERCENT IMPUTED","","",""
"    Earnings in the past 12 months","21.7%","(X)","(X)"
