"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","21959","137634","107524","272432","17423"
"Male:","12205","72710","49574","149843","9765"
"Management, business, science, and arts occupations:","3994","23155","31686","50141","4307"
"Management, business, and financial occupations:","1492","9866","17429","20989","1747"
"Management occupations","1119","5702","8433","12398","839"
"Business and financial operations occupations","373","4164","8996","8591","908"
"Computer, engineering, and science occupations:","754","7093","7240","13935","769"
"Computer and mathematical occupations","376","4593","4924","9292","376"
"Architecture and engineering occupations","312","2020","307","3065","318"
"Life, physical, and social science occupations","66","480","2009","1578","75"
"Education, legal, community service, arts, and media occupations:","309","4013","3916","8978","799"
"Community and social service occupations","23","401","0","1316","326"
"Legal occupations","0","504","813","1003","0"
"Education, training, and library occupations","184","942","1229","3247","39"
"Arts, design, entertainment, sports, and media occupations","102","2166","1874","3412","434"
"Healthcare practitioners and technical occupations:","1439","2183","3101","6239","992"
"Health diagnosing and treating practitioners and other technical occupations","1107","1939","2590","3869","716"
"Health technologists and technicians","332","244","511","2370","276"
"Service occupations:","3960","17780","5426","27390","1490"
"Healthcare support occupations","302","899","800","1841","450"
"Protective service occupations:","448","855","387","3926","171"
"Fire fighting and prevention, and other protective service workers including supervisors","250","577","360","3564","41"
"Law enforcement workers including supervisors","198","278","27","362","130"
"Food preparation and serving related occupations","1818","13293","2883","14835","664"
"Building and grounds cleaning and maintenance occupations","538","1545","893","3446","205"
"Personal care and service occupations","854","1188","463","3342","0"
"Sales and office occupations:","1584","14043","10140","34999","1723"
"Sales and related occupations","1111","8491","6127","22264","892"
"Office and administrative support occupations","473","5552","4013","12735","831"
"Natural resources, construction, and maintenance occupations:","799","6211","517","11677","975"
"Farming, fishing, and forestry occupations","0","0","0","235","0"
"Construction and extraction occupations","524","4818","360","7888","406"
"Installation, maintenance, and repair occupations","275","1393","157","3554","569"
"Production, transportation, and material moving occupations:","1868","11521","1805","25636","1270"
"Production occupations","344","2866","652","6964","434"
"Transportation occupations","1499","6498","936","16159","781"
"Material moving occupations","25","2157","217","2513","55"
"Female:","9754","64924","57950","122589","7658"
"Management, business, science, and arts occupations:","4922","25078","37462","48768","4906"
"Management, business, and financial occupations:","1051","8273","17235","17554","1501"
"Management occupations","386","2876","7244","8030","842"
"Business and financial operations occupations","665","5397","9991","9524","659"
"Computer, engineering, and science occupations:","334","2096","3794","5777","370"
"Computer and mathematical occupations","68","1602","2892","3751","329"
"Architecture and engineering occupations","0","222","269","831","0"
"Life, physical, and social science occupations","266","272","633","1195","41"
"Education, legal, community service, arts, and media occupations:","1292","9888","9892","13377","947"
"Community and social service occupations","60","783","763","1100","144"
"Legal occupations","199","792","1715","1630","0"
"Education, training, and library occupations","845","4281","3713","6432","723"
"Arts, design, entertainment, sports, and media occupations","188","4032","3701","4215","80"
"Healthcare practitioners and technical occupations:","2245","4821","6541","12060","2088"
"Health diagnosing and treating practitioners and other technical occupations","2017","4018","6148","9341","1737"
"Health technologists and technicians","228","803","393","2719","351"
"Service occupations:","2223","17774","7789","32842","1019"
"Healthcare support occupations","834","6496","2603","6361","509"
"Protective service occupations:","26","0","0","884","0"
"Fire fighting and prevention, and other protective service workers including supervisors","26","0","0","810","0"
"Law enforcement workers including supervisors","0","0","0","74","0"
"Food preparation and serving related occupations","386","3336","1767","7554","139"
"Building and grounds cleaning and maintenance occupations","225","1884","996","4006","150"
"Personal care and service occupations","752","6058","2423","14037","221"
"Sales and office occupations:","2141","16506","10959","34624","1498"
"Sales and related occupations","1344","8595","4662","15812","236"
"Office and administrative support occupations","797","7911","6297","18812","1262"
"Natural resources, construction, and maintenance occupations:","0","368","0","508","0"
"Farming, fishing, and forestry occupations","0","0","0","0","0"
"Construction and extraction occupations","0","216","0","224","0"
"Installation, maintenance, and repair occupations","0","152","0","284","0"
"Production, transportation, and material moving occupations:","468","5198","1740","5847","235"
"Production occupations","338","4552","1587","4974","235"
"Transportation occupations","130","182","70","340","0"
"Material moving occupations","0","464","83","533","0"
