"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","189978","380376","100379","199668","20214"
"Male:","84641","162442","46580","89495","9310"
"Management, business, science, and arts occupations:","18993","39244","16079","21130","2569"
"Management, business, and financial occupations:","7122","16007","7147","8520","1295"
"Management occupations","5798","10732","4166","5426","466"
"Business and financial operations occupations","1324","5275","2981","3094","829"
"Computer, engineering, and science occupations:","2437","4655","2132","2557","0"
"Computer and mathematical occupations","893","2904","1486","1481","0"
"Architecture and engineering occupations","1544","1198","503","953","0"
"Life, physical, and social science occupations","0","553","143","123","0"
"Education, legal, community service, arts, and media occupations:","6414","13756","5893","6662","984"
"Community and social service occupations","2404","3640","891","1932","74"
"Legal occupations","508","921","217","398","71"
"Education, training, and library occupations","1964","5476","2066","1945","430"
"Arts, design, entertainment, sports, and media occupations","1538","3719","2719","2387","409"
"Healthcare practitioners and technical occupations:","3020","4826","907","3391","290"
"Health diagnosing and treating practitioners and other technical occupations","1527","2805","385","1733","65"
"Health technologists and technicians","1493","2021","522","1658","225"
"Service occupations:","23056","40217","10627","23390","3252"
"Healthcare support occupations","2792","2738","356","2126","425"
"Protective service occupations:","6410","12683","3088","8494","1682"
"Fire fighting and prevention, and other protective service workers including supervisors","5533","10403","2621","5150","890"
"Law enforcement workers including supervisors","877","2280","467","3344","792"
"Food preparation and serving related occupations","4732","8060","2758","4764","77"
"Building and grounds cleaning and maintenance occupations","5910","11591","2624","5199","729"
"Personal care and service occupations","3212","5145","1801","2807","339"
"Sales and office occupations:","16663","32721","10013","20635","1402"
"Sales and related occupations","7430","14292","4422","8512","509"
"Office and administrative support occupations","9233","18429","5591","12123","893"
"Natural resources, construction, and maintenance occupations:","9117","23410","2959","9679","731"
"Farming, fishing, and forestry occupations","57","106","0","210","0"
"Construction and extraction occupations","5429","15460","1814","5253","488"
"Installation, maintenance, and repair occupations","3631","7844","1145","4216","243"
"Production, transportation, and material moving occupations:","16812","26850","6902","14661","1356"
"Production occupations","1991","4143","1476","2406","481"
"Transportation occupations","12165","17912","3954","9186","567"
"Material moving occupations","2656","4795","1472","3069","308"
"Female:","105337","217934","53799","110173","10904"
"Management, business, science, and arts occupations:","33224","72775","21768","41502","4444"
"Management, business, and financial occupations:","9525","19196","8880","13753","897"
"Management occupations","6484","11453","5663","8059","551"
"Business and financial operations occupations","3041","7743","3217","5694","346"
"Computer, engineering, and science occupations:","1281","2538","914","1366","177"
"Computer and mathematical occupations","784","1554","523","886","0"
"Architecture and engineering occupations","167","275","0","119","177"
"Life, physical, and social science occupations","330","709","391","361","0"
"Education, legal, community service, arts, and media occupations:","13851","30432","7741","16349","1857"
"Community and social service occupations","5811","10280","2077","5595","641"
"Legal occupations","492","1554","511","1185","93"
"Education, training, and library occupations","6446","16170","3241","8533","887"
"Arts, design, entertainment, sports, and media occupations","1102","2428","1912","1036","236"
"Healthcare practitioners and technical occupations:","8567","20609","4233","10034","1513"
"Health diagnosing and treating practitioners and other technical occupations","5051","12874","3170","6121","739"
"Health technologists and technicians","3516","7735","1063","3913","774"
"Service occupations:","37860","82548","13276","36918","4187"
"Healthcare support occupations","18733","40318","3682","16764","2504"
"Protective service occupations:","2398","7232","1022","3815","247"
"Fire fighting and prevention, and other protective service workers including supervisors","1669","5033","402","1670","43"
"Law enforcement workers including supervisors","729","2199","620","2145","204"
"Food preparation and serving related occupations","3516","7131","2225","4808","436"
"Building and grounds cleaning and maintenance occupations","4721","9033","1987","3569","21"
"Personal care and service occupations","8492","18834","4360","7962","979"
"Sales and office occupations:","30345","54711","17565","29134","1958"
"Sales and related occupations","11186","16675","5950","9349","853"
"Office and administrative support occupations","19159","38036","11615","19785","1105"
"Natural resources, construction, and maintenance occupations:","495","669","428","683","52"
"Farming, fishing, and forestry occupations","0","0","0","0","0"
"Construction and extraction occupations","323","381","0","573","52"
"Installation, maintenance, and repair occupations","172","288","428","110","0"
"Production, transportation, and material moving occupations:","3413","7231","762","1936","263"
"Production occupations","1010","2786","120","675","34"
"Transportation occupations","1529","3791","642","1042","229"
"Material moving occupations","874","654","0","219","0"
