"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","218659","379408","106090","209296"
"Male:","101804","159166","49791","96262"
"Management, business, science, and arts occupations:","19994","39879","18457","23142"
"Management, business, and financial occupations:","8441","14682","9893","8575"
"Management occupations","5846","9718","5792","5160"
"Business and financial operations occupations","2595","4964","4101","3415"
"Computer, engineering, and science occupations:","1775","6489","2508","4474"
"Computer and mathematical occupations","794","4704","1922","2612"
"Architecture and engineering occupations","767","1609","448","1635"
"Life, physical, and social science occupations","214","176","138","227"
"Education, legal, community service, arts, and media occupations:","7562","14040","5380","7045"
"Community and social service occupations","3296","3875","1279","1906"
"Legal occupations","266","961","753","455"
"Education, training, and library occupations","3020","4586","1389","2544"
"Arts, design, entertainment, sports, and media occupations","980","4618","1959","2140"
"Healthcare practitioners and technical occupations:","2216","4668","676","3048"
"Health diagnosing and treating practitioners and other technical occupations","1207","2058","466","1066"
"Health technologists and technicians","1009","2610","210","1982"
"Service occupations:","31809","39620","9841","22790"
"Healthcare support occupations","2546","3237","363","2624"
"Protective service occupations:","6832","13600","2488","8258"
"Fire fighting and prevention, and other protective service workers including supervisors","5469","10301","1829","5523"
"Law enforcement workers including supervisors","1363","3299","659","2735"
"Food preparation and serving related occupations","9043","7175","2388","3113"
"Building and grounds cleaning and maintenance occupations","8897","10704","3093","6213"
"Personal care and service occupations","4491","4904","1509","2582"
"Sales and office occupations:","22757","31152","11472","19581"
"Sales and related occupations","7375","13377","5332","7664"
"Office and administrative support occupations","15382","17775","6140","11917"
"Natural resources, construction, and maintenance occupations:","10185","21309","3479","13709"
"Farming, fishing, and forestry occupations","133","0","0","0"
"Construction and extraction occupations","6865","14368","2000","8989"
"Installation, maintenance, and repair occupations","3187","6941","1479","4720"
"Production, transportation, and material moving occupations:","17059","27206","6542","17040"
"Production occupations","1591","3199","1057","2123"
"Transportation occupations","13437","18910","3936","12760"
"Material moving occupations","2031","5097","1549","2157"
"Female:","116855","220242","56299","113034"
"Management, business, science, and arts occupations:","38830","81722","24233","39440"
"Management, business, and financial occupations:","9782","20686","8080","11385"
"Management occupations","6509","11827","5118","6073"
"Business and financial operations occupations","3273","8859","2962","5312"
"Computer, engineering, and science occupations:","879","3701","1970","1450"
"Computer and mathematical occupations","704","2374","743","736"
"Architecture and engineering occupations","62","396","721","108"
"Life, physical, and social science occupations","113","931","506","606"
"Education, legal, community service, arts, and media occupations:","18624","35845","11216","14109"
"Community and social service occupations","8235","9967","3055","4355"
"Legal occupations","905","2297","2109","1080"
"Education, training, and library occupations","8713","18963","4327","8127"
"Arts, design, entertainment, sports, and media occupations","771","4618","1725","547"
"Healthcare practitioners and technical occupations:","9545","21490","2967","12496"
"Health diagnosing and treating practitioners and other technical occupations","5210","13497","1549","7039"
"Health technologists and technicians","4335","7993","1418","5457"
"Service occupations:","43716","80188","14006","36795"
"Healthcare support occupations","22254","35527","4545","18520"
"Protective service occupations:","4371","8706","1862","3602"
"Fire fighting and prevention, and other protective service workers including supervisors","3406","4876","1299","1883"
"Law enforcement workers including supervisors","965","3830","563","1719"
"Food preparation and serving related occupations","3737","7101","2465","3740"
"Building and grounds cleaning and maintenance occupations","3290","8207","1312","3372"
"Personal care and service occupations","10064","20647","3822","7561"
"Sales and office occupations:","30787","49771","15971","30107"
"Sales and related occupations","9345","16002","5830","7784"
"Office and administrative support occupations","21442","33769","10141","22323"
"Natural resources, construction, and maintenance occupations:","1349","787","210","248"
"Farming, fishing, and forestry occupations","0","0","210","0"
"Construction and extraction occupations","154","341","0","248"
"Installation, maintenance, and repair occupations","1195","446","0","0"
"Production, transportation, and material moving occupations:","2173","7774","1879","6444"
"Production occupations","485","1722","915","1615"
"Transportation occupations","1086","5266","610","3319"
"Material moving occupations","602","786","354","1510"
