"Label","New York County, New York / Estimate","Kings County, New York / Estimate","Queens County, New York / Estimate","Bronx County, New York / Estimate"
"Total:","100196","366410","207005","219048"
"Male:","49990","156088","94352","104431"
"Management, business, science, and arts occupations:","16958","38967","22929","21337"
"Management, business, and financial occupations:","7927","13868","8871","6443"
"Management occupations","4840","8311","5835","5170"
"Business and financial operations occupations","3087","5557","3036","1273"
"Computer, engineering, and science occupations:","1675","6390","3976","3277"
"Computer and mathematical occupations","1344","3891","2180","2188"
"Architecture and engineering occupations","172","1527","1136","776"
"Life, physical, and social science occupations","159","972","660","313"
"Education, legal, community service, arts, and media occupations:","6161","14584","7149","8190"
"Community and social service occupations","811","4111","1603","1604"
"Legal occupations","852","1384","475","1022"
"Educational instruction, and library occupations","2396","5019","2994","3790"
"Arts, design, entertainment, sports, and media occupations","2102","4070","2077","1774"
"Healthcare practitioners and technical occupations:","1195","4125","2933","3427"
"Health diagnosing and treating practitioners and other technical occupations","964","1950","1170","1272"
"Health technologists and technicians","231","2175","1763","2155"
"Service occupations:","13901","41141","19818","31990"
"Healthcare support occupations","820","3785","2471","4028"
"Protective service occupations:","3269","15050","6029","7977"
"Firefighting and prevention, and other protective service workers including supervisors","2731","10858","3670","7063"
"Law enforcement workers including supervisors","538","4192","2359","914"
"Food preparation and serving related occupations","2658","7192","3847","7080"
"Building and grounds cleaning and maintenance occupations","5509","11378","4847","10170"
"Personal care and service occupations","1645","3736","2624","2735"
"Sales and office occupations:","7390","25434","16616","20029"
"Sales and related occupations","3123","10611","6459","9390"
"Office and administrative support occupations","4267","14823","10157","10639"
"Natural resources, construction, and maintenance occupations:","3013","19481","13495","9407"
"Farming, fishing, and forestry occupations","48","0","0","0"
"Construction and extraction occupations","2278","13828","8575","6204"
"Installation, maintenance, and repair occupations","687","5653","4920","3203"
"Production, transportation, and material moving occupations:","8728","31065","21494","21668"
"Production occupations","1197","3457","1788","2407"
"Transportation occupations","4919","19486","13738","13508"
"Material moving occupations","2612","8122","5968","5753"
"Female:","50206","210322","112653","114617"
"Management, business, science, and arts occupations:","22011","78833","45912","35183"
"Management, business, and financial occupations:","8400","22795","12012","10187"
"Management occupations","6223","13408","6950","6636"
"Business and financial operations occupations","2177","9387","5062","3551"
"Computer, engineering, and science occupations:","1594","2809","1442","856"
"Computer and mathematical occupations","939","1803","794","383"
"Architecture and engineering occupations","0","177","149","136"
"Life, physical, and social science occupations","655","829","499","337"
"Education, legal, community service, arts, and media occupations:","9961","33952","17086","15538"
"Community and social service occupations","2422","8674","5150","5005"
"Legal occupations","727","1893","1151","1153"
"Educational instruction, and library occupations","5599","20588","9103","8479"
"Arts, design, entertainment, sports, and media occupations","1213","2797","1682","901"
"Healthcare practitioners and technical occupations:","2056","19277","15372","8602"
"Health diagnosing and treating practitioners and other technical occupations","956","13020","10301","5642"
"Health technologists and technicians","1100","6257","5071","2960"
"Service occupations:","13431","73366","34650","41560"
"Healthcare support occupations","5492","37835","17512","24015"
"Protective service occupations:","2793","7542","5246","3482"
"Firefighting and prevention, and other protective service workers including supervisors","2246","4523","2189","2405"
"Law enforcement workers including supervisors","547","3019","3057","1077"
"Food preparation and serving related occupations","1762","7444","2907","3154"
"Building and grounds cleaning and maintenance occupations","1329","8013","3639","5426"
"Personal care and service occupations","2055","12532","5346","5483"
"Sales and office occupations:","12280","45684","26451","32500"
"Sales and related occupations","4560","14412","8171","13621"
"Office and administrative support occupations","7720","31272","18280","18879"
"Natural resources, construction, and maintenance occupations:","351","1617","882","362"
"Farming, fishing, and forestry occupations","0","0","89","0"
"Construction and extraction occupations","0","926","418","184"
"Installation, maintenance, and repair occupations","351","691","375","178"
"Production, transportation, and material moving occupations:","2133","10822","4758","5012"
"Production occupations","253","2908","723","1292"
"Transportation occupations","1031","5079","2685","2355"
"Material moving occupations","849","2835","1350","1365"
