"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","325085","216970","189819","326381","33384"
"Male:","163957","117699","98310","187671","17044"
"Management, business, science, and arts occupations:","25679","22697","27959","31251","2438"
"Management, business, and financial occupations:","11434","9799","13109","15991","1377"
"Management occupations","8293","7145","9612","12055","1000"
"Business and financial operations occupations","3141","2654","3497","3936","377"
"Computer, engineering, and science occupations:","3320","3028","3523","4030","392"
"Computer and mathematical occupations","2514","2072","2124","2488","339"
"Architecture and engineering occupations","686","514","689","1266","53"
"Life, physical, and social science occupations","120","442","710","276","0"
"Education, legal, community service, arts, and media occupations:","8939","8062","9728","8671","451"
"Community and social service occupations","2797","1191","874","1672","50"
"Legal occupations","205","1279","1753","1064","61"
"Education, training, and library occupations","3541","2952","2446","2325","340"
"Arts, design, entertainment, sports, and media occupations","2396","2640","4655","3610","0"
"Healthcare practitioners and technical occupations:","1986","1808","1599","2559","218"
"Health diagnosing and treating practitioners and other technical occupations","376","942","851","1384","81"
"Health technologists and technicians","1610","866","748","1175","137"
"Service occupations:","52893","33433","29416","55722","4657"
"Healthcare support occupations","766","1007","229","1848","264"
"Protective service occupations:","7581","4352","4880","5770","800"
"Fire fighting and prevention, and other protective service workers including supervisors","5574","2978","3846","3204","308"
"Law enforcement workers including supervisors","2007","1374","1034","2566","492"
"Food preparation and serving related occupations","21769","16359","13121","29735","1514"
"Building and grounds cleaning and maintenance occupations","17904","9249","7387","14695","1451"
"Personal care and service occupations","4873","2466","3799","3674","628"
"Sales and office occupations:","28030","19193","15810","26296","3974"
"Sales and related occupations","14118","8901","8046","11944","1837"
"Office and administrative support occupations","13912","10292","7764","14352","2137"
"Natural resources, construction, and maintenance occupations:","27062","21116","9450","37800","3810"
"Farming, fishing, and forestry occupations","597","351","0","567","0"
"Construction and extraction occupations","17666","17063","6439","30738","2505"
"Installation, maintenance, and repair occupations","8799","3702","3011","6495","1305"
"Production, transportation, and material moving occupations:","30293","21260","15675","36602","2165"
"Production occupations","6924","7290","3943","10910","393"
"Transportation occupations","18304","10124","9074","19691","1264"
"Material moving occupations","5065","3846","2658","6001","508"
"Female:","161128","99271","91509","138710","16340"
"Management, business, science, and arts occupations:","38147","29033","29900","35986","5697"
"Management, business, and financial occupations:","10722","7974","10157","11942","1567"
"Management occupations","7034","5268","7216","7215","1050"
"Business and financial operations occupations","3688","2706","2941","4727","517"
"Computer, engineering, and science occupations:","1585","1729","1893","1496","170"
"Computer and mathematical occupations","899","825","808","373","23"
"Architecture and engineering occupations","132","188","117","429","0"
"Life, physical, and social science occupations","554","716","968","694","147"
"Education, legal, community service, arts, and media occupations:","19739","14435","13056","16771","2184"
"Community and social service occupations","3816","1957","2073","1855","367"
"Legal occupations","1548","1264","1836","2631","232"
"Education, training, and library occupations","13153","7329","5895","8505","1535"
"Arts, design, entertainment, sports, and media occupations","1222","3885","3252","3780","50"
"Healthcare practitioners and technical occupations:","6101","4895","4794","5777","1776"
"Health diagnosing and treating practitioners and other technical occupations","3092","2093","2417","2914","1011"
"Health technologists and technicians","3009","2802","2377","2863","765"
"Service occupations:","63586","34559","33561","53211","5831"
"Healthcare support occupations","21406","9109","9727","10749","1457"
"Protective service occupations:","1964","2090","355","2851","490"
"Fire fighting and prevention, and other protective service workers including supervisors","1697","1635","162","1401","70"
"Law enforcement workers including supervisors","267","455","193","1450","420"
"Food preparation and serving related occupations","8646","4686","6644","9887","1502"
"Building and grounds cleaning and maintenance occupations","12475","9109","6784","16837","1170"
"Personal care and service occupations","19095","9565","10051","12887","1212"
"Sales and office occupations:","49839","28611","24018","41475","4295"
"Sales and related occupations","17928","12822","9399","13562","1334"
"Office and administrative support occupations","31911","15789","14619","27913","2961"
"Natural resources, construction, and maintenance occupations:","1099","729","186","295","103"
"Farming, fishing, and forestry occupations","243","0","31","0","0"
"Construction and extraction occupations","489","534","50","154","103"
"Installation, maintenance, and repair occupations","367","195","105","141","0"
"Production, transportation, and material moving occupations:","8457","6339","3844","7743","414"
"Production occupations","4718","3329","2390","4564","347"
"Transportation occupations","2420","1340","428","2417","67"
"Material moving occupations","1319","1670","1026","762","0"
