"Label","New York County, New York / Estimate","Kings County, New York / Estimate","Queens County, New York / Estimate","Bronx County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","186202","216135","316985","335661","37623"
"Male:","97943","116691","177252","169015","19900"
"Management, business, science, and arts occupations:","30287","28418","30237","26706","4409"
"Management, business, and financial occupations:","15331","11803","13521","11800","1896"
"Management occupations","11234","7999","10062","8797","1126"
"Business and financial operations occupations","4097","3804","3459","3003","770"
"Computer, engineering, and science occupations:","4495","4401","5759","3276","930"
"Computer and mathematical occupations","2868","3032","3234","3009","700"
"Architecture and engineering occupations","998","998","1744","165","122"
"Life, physical, and social science occupations","629","371","781","102","108"
"Education, legal, community service, arts, and media occupations:","8827","10690","8964","9966","1112"
"Community and social service occupations","64","1109","1108","2620","648"
"Legal occupations","1470","740","992","516","0"
"Educational instruction, and library occupations","3897","3061","3901","3340","464"
"Arts, design, entertainment, sports, and media occupations","3396","5780","2963","3490","0"
"Healthcare practitioners and technical occupations:","1634","1524","1993","1664","471"
"Health diagnosing and treating practitioners and other technical occupations","1090","1284","884","683","0"
"Health technologists and technicians","544","240","1109","981","471"
"Service occupations:","25814","30045","46597","53782","5649"
"Healthcare support occupations","1776","658","804","2822","452"
"Protective service occupations:","2495","4227","5587","7834","1524"
"Firefighting and prevention, and other protective service workers including supervisors","1298","2865","3229","5306","766"
"Law enforcement workers including supervisors","1197","1362","2358","2528","758"
"Food preparation and serving related occupations","9912","13563","23635","20152","2229"
"Building and grounds cleaning and maintenance occupations","8275","7949","11397","17395","1157"
"Personal care and service occupations","3356","3648","5174","5579","287"
"Sales and office occupations:","13775","15920","20420","24820","2450"
"Sales and related occupations","6558","8645","10373","13009","1729"
"Office and administrative support occupations","7217","7275","10047","11811","721"
"Natural resources, construction, and maintenance occupations:","12407","22520","45008","25665","4443"
"Farming, fishing, and forestry occupations","182","333","116","297","0"
"Construction and extraction occupations","9454","18981","36298","17973","3651"
"Installation, maintenance, and repair occupations","2771","3206","8594","7395","792"
"Production, transportation, and material moving occupations:","15660","19788","34990","38042","2949"
"Production occupations","2944","4556","9165","7805","675"
"Transportation occupations","7387","9672","19090","21276","1623"
"Material moving occupations","5329","5560","6735","8961","651"
"Female:","88259","99444","139733","166646","17723"
"Management, business, science, and arts occupations:","30672","31847","35511","39391","7016"
"Management, business, and financial occupations:","13788","10611","11634","12477","2317"
"Management occupations","7129","6101","7178","7901","1649"
"Business and financial operations occupations","6659","4510","4456","4576","668"
"Computer, engineering, and science occupations:","2112","1599","2451","1003","252"
"Computer and mathematical occupations","778","683","1136","665","74"
"Architecture and engineering occupations","841","311","663","32","0"
"Life, physical, and social science occupations","493","605","652","306","178"
"Education, legal, community service, arts, and media occupations:","11393","15285","14986","18820","2567"
"Community and social service occupations","1292","2344","2290","4850","441"
"Legal occupations","1373","1294","1552","1077","287"
"Educational instruction, and library occupations","7053","8727","7835","10880","1710"
"Arts, design, entertainment, sports, and media occupations","1675","2920","3309","2013","129"
"Healthcare practitioners and technical occupations:","3379","4352","6440","7091","1880"
"Health diagnosing and treating practitioners and other technical occupations","2739","2558","4368","3823","913"
"Health technologists and technicians","640","1794","2072","3268","967"
"Service occupations:","32122","35060","59244","73114","4930"
"Healthcare support occupations","10333","13072","11424","35305","1009"
"Protective service occupations:","1324","1797","1734","4353","196"
"Firefighting and prevention, and other protective service workers including supervisors","799","1173","1218","3087","196"
"Law enforcement workers including supervisors","525","624","516","1266","0"
"Food preparation and serving related occupations","6498","5352","13613","7628","667"
"Building and grounds cleaning and maintenance occupations","6743","9160","21016","11383","957"
"Personal care and service occupations","7224","5679","11457","14445","2101"
"Sales and office occupations:","22312","26530","35778","43296","4945"
"Sales and related occupations","8904","10720","14613","17462","2460"
"Office and administrative support occupations","13408","15810","21165","25834","2485"
"Natural resources, construction, and maintenance occupations:","0","224","1150","529","72"
"Farming, fishing, and forestry occupations","0","0","48","0","26"
"Construction and extraction occupations","0","64","1021","267","0"
"Installation, maintenance, and repair occupations","0","160","81","262","46"
"Production, transportation, and material moving occupations:","3153","5783","8050","10316","760"
"Production occupations","1507","3247","3439","3887","407"
"Transportation occupations","295","747","2810","3103","0"
"Material moving occupations","1351","1789","1801","3326","353"
