"Label","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate"
"Total:","20075","26606","34105"
"Male:","10426","13759","18379"
"Management, business, science, and arts occupations:","2809","5907","4353"
"Management, business, and financial occupations:","1052","2476","1481"
"Management occupations","736","1122","976"
"Business and financial operations occupations","316","1354","505"
"Computer, engineering, and science occupations:","355","686","699"
"Computer and mathematical occupations","241","464","363"
"Architecture and engineering occupations","114","57","300"
"Life, physical, and social science occupations","0","165","36"
"Education, legal, community service, arts, and media occupations:","1206","2439","1606"
"Community and social service occupations","53","533","354"
"Legal occupations","0","725","220"
"Education, training, and library occupations","432","474","565"
"Arts, design, entertainment, sports, and media occupations","721","707","467"
"Healthcare practitioners and technical occupations:","196","306","567"
"Health diagnosing and treating practitioners and other technical occupations","119","306","456"
"Health technologists and technicians","77","0","111"
"Service occupations:","2448","2346","4658"
"Healthcare support occupations","156","0","98"
"Protective service occupations:","614","408","1260"
"Fire fighting and prevention, and other protective service workers including supervisors","292","228","1026"
"Law enforcement workers including supervisors","322","180","234"
"Food preparation and serving related occupations","886","817","1829"
"Building and grounds cleaning and maintenance occupations","571","601","781"
"Personal care and service occupations","221","520","690"
"Sales and office occupations:","2466","2523","4578"
"Sales and related occupations","1560","1396","2135"
"Office and administrative support occupations","906","1127","2443"
"Natural resources, construction, and maintenance occupations:","830","661","1746"
"Farming, fishing, and forestry occupations","0","0","70"
"Construction and extraction occupations","472","602","877"
"Installation, maintenance, and repair occupations","358","59","799"
"Production, transportation, and material moving occupations:","1873","2322","3044"
"Production occupations","689","887","794"
"Transportation occupations","773","1063","1860"
"Material moving occupations","411","372","390"
"Female:","9649","12847","15726"
"Management, business, science, and arts occupations:","4524","6459","4349"
"Management, business, and financial occupations:","892","3017","1789"
"Management occupations","692","2406","963"
"Business and financial operations occupations","200","611","826"
"Computer, engineering, and science occupations:","221","675","232"
"Computer and mathematical occupations","0","432","195"
"Architecture and engineering occupations","50","0","37"
"Life, physical, and social science occupations","171","243","0"
"Education, legal, community service, arts, and media occupations:","2127","2343","1109"
"Community and social service occupations","308","283","134"
"Legal occupations","355","236","73"
"Education, training, and library occupations","1013","1204","639"
"Arts, design, entertainment, sports, and media occupations","451","620","263"
"Healthcare practitioners and technical occupations:","1284","424","1219"
"Health diagnosing and treating practitioners and other technical occupations","896","383","852"
"Health technologists and technicians","388","41","367"
"Service occupations:","2540","2071","4297"
"Healthcare support occupations","955","306","1179"
"Protective service occupations:","34","92","314"
"Fire fighting and prevention, and other protective service workers including supervisors","0","0","207"
"Law enforcement workers including supervisors","34","92","107"
"Food preparation and serving related occupations","318","54","469"
"Building and grounds cleaning and maintenance occupations","670","660","1455"
"Personal care and service occupations","563","959","880"
"Sales and office occupations:","2146","3364","6273"
"Sales and related occupations","1205","1165","1611"
"Office and administrative support occupations","941","2199","4662"
"Natural resources, construction, and maintenance occupations:","125","389","32"
"Farming, fishing, and forestry occupations","0","0","0"
"Construction and extraction occupations","95","0","32"
"Installation, maintenance, and repair occupations","30","389","0"
"Production, transportation, and material moving occupations:","314","564","775"
"Production occupations","189","251","547"
"Transportation occupations","102","0","137"
"Material moving occupations","23","313","91"
