"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","Queens County, New York / Estimate"
"Total:","15792","25932","30106"
"Male:","7159","12315","15170"
"Management, business, science, and arts occupations:","1946","4642","4384"
"Management, business, and financial occupations:","935","1265","2116"
"Management occupations","655","1159","1089"
"Business and financial operations occupations","280","106","1027"
"Computer, engineering, and science occupations:","313","784","812"
"Computer and mathematical occupations","313","498","543"
"Architecture and engineering occupations","0","146","222"
"Life, physical, and social science occupations","0","140","47"
"Education, legal, community service, arts, and media occupations:","598","2088","1214"
"Community and social service occupations","236","307","249"
"Legal occupations","27","150","150"
"Education, training, and library occupations","259","501","553"
"Arts, design, entertainment, sports, and media occupations","76","1130","262"
"Healthcare practitioners and technical occupations:","100","505","242"
"Health diagnosing and treating practitioners and other technical occupations","40","84","178"
"Health technologists and technicians","60","421","64"
"Service occupations:","1377","2400","3345"
"Healthcare support occupations","0","0","277"
"Protective service occupations:","550","460","291"
"Fire fighting and prevention, and other protective service workers including supervisors","323","298","144"
"Law enforcement workers including supervisors","227","162","147"
"Food preparation and serving related occupations","423","727","1792"
"Building and grounds cleaning and maintenance occupations","298","770","917"
"Personal care and service occupations","106","443","68"
"Sales and office occupations:","1372","1756","2804"
"Sales and related occupations","612","908","1584"
"Office and administrative support occupations","760","848","1220"
"Natural resources, construction, and maintenance occupations:","971","1776","1755"
"Farming, fishing, and forestry occupations","0","219","0"
"Construction and extraction occupations","752","1045","1412"
"Installation, maintenance, and repair occupations","219","512","343"
"Production, transportation, and material moving occupations:","1493","1741","2882"
"Production occupations","611","146","698"
"Transportation occupations","694","984","1860"
"Material moving occupations","188","611","324"
"Female:","8633","13617","14936"
"Management, business, science, and arts occupations:","2621","5837","6183"
"Management, business, and financial occupations:","527","2592","1856"
"Management occupations","465","1586","1323"
"Business and financial operations occupations","62","1006","533"
"Computer, engineering, and science occupations:","64","228","522"
"Computer and mathematical occupations","64","118","220"
"Architecture and engineering occupations","0","110","141"
"Life, physical, and social science occupations","0","0","161"
"Education, legal, community service, arts, and media occupations:","1700","2375","2549"
"Community and social service occupations","207","283","263"
"Legal occupations","140","340","239"
"Education, training, and library occupations","1114","763","1923"
"Arts, design, entertainment, sports, and media occupations","239","989","124"
"Healthcare practitioners and technical occupations:","330","642","1256"
"Health diagnosing and treating practitioners and other technical occupations","113","570","660"
"Health technologists and technicians","217","72","596"
"Service occupations:","2077","3614","3429"
"Healthcare support occupations","562","1585","954"
"Protective service occupations:","276","74","359"
"Fire fighting and prevention, and other protective service workers including supervisors","276","74","270"
"Law enforcement workers including supervisors","0","0","89"
"Food preparation and serving related occupations","40","695","1039"
"Building and grounds cleaning and maintenance occupations","552","385","156"
"Personal care and service occupations","647","875","921"
"Sales and office occupations:","3322","3741","4226"
"Sales and related occupations","988","1479","1368"
"Office and administrative support occupations","2334","2262","2858"
"Natural resources, construction, and maintenance occupations:","37","0","0"
"Farming, fishing, and forestry occupations","0","0","0"
"Construction and extraction occupations","37","0","0"
"Installation, maintenance, and repair occupations","0","0","0"
"Production, transportation, and material moving occupations:","576","425","1098"
"Production occupations","310","272","834"
"Transportation occupations","119","79","32"
"Material moving occupations","147","74","232"
