"Label","New York County, New York / Estimate","Queens County, New York / Estimate","Kings County, New York / Estimate"
"Total:","35603","34344","31272"
"Male:","19182","19274","15091"
"Management, business, science, and arts occupations:","7265","5641","6649"
"Management, business, and financial occupations:","3510","1816","2850"
"Management occupations","2047","1194","2115"
"Business and financial operations occupations","1463","622","735"
"Computer, engineering, and science occupations:","1032","1283","1455"
"Computer and mathematical occupations","894","431","615"
"Architecture and engineering occupations","0","706","255"
"Life, physical, and social science occupations","138","146","585"
"Education, legal, community service, arts, and media occupations:","2270","2086","2060"
"Community and social service occupations","93","247","116"
"Legal occupations","554","566","217"
"Education, training, and library occupations","722","456","667"
"Arts, design, entertainment, sports, and media occupations","901","817","1060"
"Healthcare practitioners and technical occupations:","453","456","284"
"Health diagnosing and treating practitioners and other technical occupations","396","456","222"
"Health technologists and technicians","57","0","62"
"Service occupations:","5753","4010","2663"
"Healthcare support occupations","621","93","659"
"Protective service occupations:","752","1162","204"
"Fire fighting and prevention, and other protective service workers including supervisors","692","674","173"
"Law enforcement workers including supervisors","60","488","31"
"Food preparation and serving related occupations","1856","1304","786"
"Building and grounds cleaning and maintenance occupations","1510","918","664"
"Personal care and service occupations","1014","533","350"
"Sales and office occupations:","2608","4804","2834"
"Sales and related occupations","1245","1931","1945"
"Office and administrative support occupations","1363","2873","889"
"Natural resources, construction, and maintenance occupations:","1173","1774","884"
"Farming, fishing, and forestry occupations","0","0","0"
"Construction and extraction occupations","683","1181","633"
"Installation, maintenance, and repair occupations","490","593","251"
"Production, transportation, and material moving occupations:","2383","3045","2061"
"Production occupations","361","738","342"
"Transportation occupations","1788","1705","1503"
"Material moving occupations","234","602","216"
"Female:","16421","15070","16181"
"Management, business, science, and arts occupations:","8101","7305","7105"
"Management, business, and financial occupations:","3792","2284","3006"
"Management occupations","2819","1343","2142"
"Business and financial operations occupations","973","941","864"
"Computer, engineering, and science occupations:","1201","502","452"
"Computer and mathematical occupations","532","427","251"
"Architecture and engineering occupations","163","0","56"
"Life, physical, and social science occupations","506","75","145"
"Education, legal, community service, arts, and media occupations:","2211","3029","3340"
"Community and social service occupations","88","662","445"
"Legal occupations","412","284","560"
"Education, training, and library occupations","976","1512","955"
"Arts, design, entertainment, sports, and media occupations","735","571","1380"
"Healthcare practitioners and technical occupations:","897","1490","307"
"Health diagnosing and treating practitioners and other technical occupations","702","1128","203"
"Health technologists and technicians","195","362","104"
"Service occupations:","4619","2595","4469"
"Healthcare support occupations","1550","1178","1675"
"Protective service occupations:","0","102","150"
"Fire fighting and prevention, and other protective service workers including supervisors","0","41","66"
"Law enforcement workers including supervisors","0","61","84"
"Food preparation and serving related occupations","858","237","725"
"Building and grounds cleaning and maintenance occupations","303","443","249"
"Personal care and service occupations","1908","635","1670"
"Sales and office occupations:","3130","4523","4347"
"Sales and related occupations","1355","1529","1763"
"Office and administrative support occupations","1775","2994","2584"
"Natural resources, construction, and maintenance occupations:","0","90","120"
"Farming, fishing, and forestry occupations","0","0","0"
"Construction and extraction occupations","0","64","120"
"Installation, maintenance, and repair occupations","0","26","0"
"Production, transportation, and material moving occupations:","571","557","140"
"Production occupations","457","373","79"
"Transportation occupations","114","116","61"
"Material moving occupations","0","68","0"
