"Label","New York County, New York / Estimate","Kings County, New York / Estimate","Queens County, New York / Estimate","Bronx County, New York / Estimate"
"Total:","38668","40467","37531","22551"
"Male:","18671","18596","17060","12521"
"Management, business, science, and arts occupations:","8077","7049","6278","3118"
"Management, business, and financial occupations:","3072","2445","3318","1222"
"Management occupations","1772","1484","1902","695"
"Business and financial operations occupations","1300","961","1416","527"
"Computer, engineering, and science occupations:","1553","1166","878","601"
"Computer and mathematical occupations","933","805","536","536"
"Architecture and engineering occupations","536","72","153","0"
"Life, physical, and social science occupations","84","289","189","65"
"Education, legal, community service, arts, and media occupations:","3151","2830","1516","959"
"Community and social service occupations","0","290","24","345"
"Legal occupations","266","490","213","84"
"Educational instruction, and library occupations","1588","706","744","39"
"Arts, design, entertainment, sports, and media occupations","1297","1344","535","491"
"Healthcare practitioners and technical occupations:","301","608","566","336"
"Health diagnosing and treating practitioners and other technical occupations","170","608","175","157"
"Health technologists and technicians","131","0","391","179"
"Service occupations:","3711","3552","3068","3766"
"Healthcare support occupations","0","349","276","42"
"Protective service occupations:","91","988","660","859"
"Firefighting and prevention, and other protective service workers including supervisors","91","821","475","685"
"Law enforcement workers including supervisors","0","167","185","174"
"Food preparation and serving related occupations","1163","1074","798","814"
"Building and grounds cleaning and maintenance occupations","1920","611","956","1364"
"Personal care and service occupations","537","530","378","687"
"Sales and office occupations:","2431","3250","2627","2867"
"Sales and related occupations","1627","1869","1577","1414"
"Office and administrative support occupations","804","1381","1050","1453"
"Natural resources, construction, and maintenance occupations:","1556","2154","2299","1023"
"Farming, fishing, and forestry occupations","0","40","0","0"
"Construction and extraction occupations","1556","2029","1701","657"
"Installation, maintenance, and repair occupations","0","85","598","366"
"Production, transportation, and material moving occupations:","2896","2591","2788","1747"
"Production occupations","434","462","978","439"
"Transportation occupations","1316","1561","1420","925"
"Material moving occupations","1146","568","390","383"
"Female:","19997","21871","20471","10030"
"Management, business, science, and arts occupations:","8966","11791","9623","3423"
"Management, business, and financial occupations:","4455","4392","3244","1079"
"Management occupations","2062","2681","1386","750"
"Business and financial operations occupations","2393","1711","1858","329"
"Computer, engineering, and science occupations:","679","663","903","175"
"Computer and mathematical occupations","464","497","420","55"
"Architecture and engineering occupations","173","57","91","37"
"Life, physical, and social science occupations","42","109","392","83"
"Education, legal, community service, arts, and media occupations:","3042","5794","3896","1541"
"Community and social service occupations","291","594","605","298"
"Legal occupations","694","554","393","0"
"Educational instruction, and library occupations","1473","2787","2460","1087"
"Arts, design, entertainment, sports, and media occupations","584","1859","438","156"
"Healthcare practitioners and technical occupations:","790","942","1580","628"
"Health diagnosing and treating practitioners and other technical occupations","699","619","1442","358"
"Health technologists and technicians","91","323","138","270"
"Service occupations:","5589","5747","5039","3073"
"Healthcare support occupations","1863","2997","1954","1287"
"Protective service occupations:","308","488","248","0"
"Firefighting and prevention, and other protective service workers including supervisors","174","58","135","0"
"Law enforcement workers including supervisors","134","430","113","0"
"Food preparation and serving related occupations","1892","848","788","643"
"Building and grounds cleaning and maintenance occupations","893","327","755","538"
"Personal care and service occupations","633","1087","1294","605"
"Sales and office occupations:","4937","3872","5145","3088"
"Sales and related occupations","1025","1494","2099","935"
"Office and administrative support occupations","3912","2378","3046","2153"
"Natural resources, construction, and maintenance occupations:","0","47","143","0"
"Farming, fishing, and forestry occupations","0","0","0","0"
"Construction and extraction occupations","0","47","77","0"
"Installation, maintenance, and repair occupations","0","0","66","0"
"Production, transportation, and material moving occupations:","505","414","521","446"
"Production occupations","0","194","149","127"
"Transportation occupations","208","220","217","121"
"Material moving occupations","297","0","155","198"
