"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","63563","417753","480356","286954","132659"
"Male:","33810","217605","247176","155421","70210"
"Management, business, science, and arts occupations:","10554","111535","177016","61190","23119"
"Management, business, and financial occupations:","4484","41000","83886","27516","10178"
"Management occupations","3124","27320","47720","17257","6830"
"Business and financial operations occupations","1360","13680","36166","10259","3348"
"Computer, engineering, and science occupations:","2329","19305","18821","9791","4828"
"Computer and mathematical occupations","1163","12030","9440","6040","2857"
"Architecture and engineering occupations","736","5632","5176","2775","1873"
"Life, physical, and social science occupations","430","1643","4205","976","98"
"Education, legal, community service, arts, and media occupations:","2655","45932","66090","19740","5726"
"Community and social service occupations","77","2252","2162","1187","564"
"Legal occupations","428","7259","18573","2953","1337"
"Education, training, and library occupations","1270","14921","14893","8746","2059"
"Arts, design, entertainment, sports, and media occupations","880","21500","30462","6854","1766"
"Healthcare practitioners and technical occupations:","1086","5298","8219","4143","2387"
"Health diagnosing and treating practitioners and other technical occupations","873","4778","7506","3453","2037"
"Health technologists and technicians","213","520","713","690","350"
"Service occupations:","7598","24494","12616","24913","12139"
"Healthcare support occupations","375","1812","243","1462","497"
"Protective service occupations:","2054","5291","1016","6837","7332"
"Fire fighting and prevention, and other protective service workers including supervisors","1151","3072","489","4422","3281"
"Law enforcement workers including supervisors","903","2219","527","2415","4051"
"Food preparation and serving related occupations","1870","8928","5636","7898","1159"
"Building and grounds cleaning and maintenance occupations","1916","4350","991","3995","2180"
"Personal care and service occupations","1383","4113","4730","4721","971"
"Sales and office occupations:","7162","41982","47992","32484","12155"
"Sales and related occupations","4389","25431","35573","20076","7596"
"Office and administrative support occupations","2773","16551","12419","12408","4559"
"Natural resources, construction, and maintenance occupations:","5206","21251","4008","22863","14053"
"Farming, fishing, and forestry occupations","0","191","200","271","0"
"Construction and extraction occupations","3507","14263","2381","16850","9658"
"Installation, maintenance, and repair occupations","1699","6797","1427","5742","4395"
"Production, transportation, and material moving occupations:","3290","18343","5544","13971","8744"
"Production occupations","1813","5872","2194","4282","1782"
"Transportation occupations","883","9149","2122","7185","5389"
"Material moving occupations","594","3322","1228","2504","1573"
"Female:","29753","200148","233180","131533","62449"
"Management, business, science, and arts occupations:","12662","106391","164080","65159","30137"
"Management, business, and financial occupations:","3714","29993","64485","21191","7886"
"Management occupations","2071","19054","36334","14202","5733"
"Business and financial operations occupations","1643","10939","28151","6989","2153"
"Computer, engineering, and science occupations:","1023","7609","13641","4764","1661"
"Computer and mathematical occupations","81","4240","3533","2111","698"
"Architecture and engineering occupations","105","1182","2179","945","670"
"Life, physical, and social science occupations","837","2187","7929","1708","293"
"Education, legal, community service, arts, and media occupations:","5623","56560","73464","27226","14781"
"Community and social service occupations","609","4192","5336","2981","1012"
"Legal occupations","548","4414","14910","2564","2393"
"Education, training, and library occupations","3280","28245","21789","16521","10547"
"Arts, design, entertainment, sports, and media occupations","1186","19709","31429","5160","829"
"Healthcare practitioners and technical occupations:","2302","12229","12490","11978","5809"
"Health diagnosing and treating practitioners and other technical occupations","1858","10226","11348","9437","4220"
"Health technologists and technicians","444","2003","1142","2541","1589"
"Service occupations:","6373","36440","15767","21687","8957"
"Healthcare support occupations","1154","13323","1189","4589","2556"
"Protective service occupations:","110","1225","844","1379","1443"
"Fire fighting and prevention, and other protective service workers including supervisors","110","1098","518","815","663"
"Law enforcement workers including supervisors","0","127","326","564","780"
"Food preparation and serving related occupations","1614","8406","5830","6222","1013"
"Building and grounds cleaning and maintenance occupations","1152","3466","780","3728","1269"
"Personal care and service occupations","2343","10020","7124","5769","2676"
"Sales and office occupations:","10381","52752","50141","41251","22027"
"Sales and related occupations","2114","17402","25515","12521","6666"
"Office and administrative support occupations","8267","35350","24626","28730","15361"
"Natural resources, construction, and maintenance occupations:","137","343","405","343","249"
"Farming, fishing, and forestry occupations","0","0","0","0","0"
"Construction and extraction occupations","0","261","360","343","249"
"Installation, maintenance, and repair occupations","137","82","45","0","0"
"Production, transportation, and material moving occupations:","200","4222","2787","3093","1079"
"Production occupations","125","3414","1821","2256","591"
"Transportation occupations","75","505","771","576","440"
"Material moving occupations","0","303","195","261","48"
