"Label","Bronx County, New York / Estimate","Richmond County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Kings County, New York / Estimate"
"Total:","56347","133037","499481","294140","479145"
"Male:","31377","70707","257816","159457","253001"
"Management, business, science, and arts occupations:","13989","24060","187595","71332","140324"
"Management, business, and financial occupations:","4829","12332","92716","31915","54899"
"Management occupations","3288","8578","60754","21482","39676"
"Business and financial operations occupations","1541","3754","31962","10433","15223"
"Computer, engineering, and science occupations:","2070","4615","24942","13210","24114"
"Computer and mathematical occupations","1267","2350","14629","7768","15670"
"Architecture and engineering occupations","509","2099","5405","4263","5987"
"Life, physical, and social science occupations","294","166","4908","1179","2457"
"Education, legal, community service, arts, and media occupations:","5895","4269","59625","22123","55078"
"Community and social service occupations","331","447","3399","1633","3172"
"Legal occupations","673","571","18949","3124","6390"
"Education, training, and library occupations","2631","2269","11272","8156","17019"
"Arts, design, entertainment, sports, and media occupations","2260","982","26005","9210","28497"
"Healthcare practitioners and technical occupations:","1195","2844","10312","4084","6233"
"Health diagnosing and treating practitioners and other technical occupations","771","2429","9820","3470","4707"
"Health technologists and technicians","424","415","492","614","1526"
"Service occupations:","5041","10978","14468","21774","25875"
"Healthcare support occupations","143","354","457","892","2448"
"Protective service occupations:","905","6750","1115","5544","4765"
"Fire fighting and prevention, and other protective service workers including supervisors","626","3793","878","3242","2717"
"Law enforcement workers including supervisors","279","2957","237","2302","2048"
"Food preparation and serving related occupations","1480","1102","7313","6852","10932"
"Building and grounds cleaning and maintenance occupations","1202","1757","1838","3625","3665"
"Personal care and service occupations","1311","1015","3745","4861","4065"
"Sales and office occupations:","5205","12688","48929","25734","46358"
"Sales and related occupations","3652","7365","38129","15326","28782"
"Office and administrative support occupations","1553","5323","10800","10408","17576"
"Natural resources, construction, and maintenance occupations:","4491","13185","3734","24133","19634"
"Farming, fishing, and forestry occupations","118","0","0","297","121"
"Construction and extraction occupations","3026","9305","1813","18557","13578"
"Installation, maintenance, and repair occupations","1347","3880","1921","5279","5935"
"Production, transportation, and material moving occupations:","2651","9796","3090","16484","20810"
"Production occupations","626","1705","962","3749","5580"
"Transportation occupations","1667","6064","1691","10160","12584"
"Material moving occupations","358","2027","437","2575","2646"
"Female:","24970","62330","241665","134683","226144"
"Management, business, science, and arts occupations:","13141","32130","181489","71017","137446"
"Management, business, and financial occupations:","4956","7188","81854","25861","43764"
"Management occupations","3219","4070","51102","16461","28936"
"Business and financial operations occupations","1737","3118","30752","9400","14828"
"Computer, engineering, and science occupations:","842","1371","12391","3766","9785"
"Computer and mathematical occupations","464","484","4962","1654","4906"
"Architecture and engineering occupations","53","427","616","763","1862"
"Life, physical, and social science occupations","325","460","6813","1349","3017"
"Education, legal, community service, arts, and media occupations:","5672","15578","69733","30562","69399"
"Community and social service occupations","633","1610","5355","3351","5981"
"Legal occupations","754","1540","13723","3008","7222"
"Education, training, and library occupations","3254","11158","22437","17890","29388"
"Arts, design, entertainment, sports, and media occupations","1031","1270","28218","6313","26808"
"Healthcare practitioners and technical occupations:","1671","7993","17511","10828","14498"
"Health diagnosing and treating practitioners and other technical occupations","1338","5866","16226","8782","11566"
"Health technologists and technicians","333","2127","1285","2046","2932"
"Service occupations:","5239","9360","14526","20772","33743"
"Healthcare support occupations","1535","2638","2662","4189","12395"
"Protective service occupations:","457","730","283","852","1054"
"Fire fighting and prevention, and other protective service workers including supervisors","198","432","283","400","973"
"Law enforcement workers including supervisors","259","298","0","452","81"
"Food preparation and serving related occupations","835","1267","5694","5674","8312"
"Building and grounds cleaning and maintenance occupations","1220","1381","654","3506","2851"
"Personal care and service occupations","1192","3344","5233","6551","9131"
"Sales and office occupations:","6018","20214","43874","39709","50261"
"Sales and related occupations","1436","6044","22355","11738","17192"
"Office and administrative support occupations","4582","14170","21519","27971","33069"
"Natural resources, construction, and maintenance occupations:","363","342","181","820","1061"
"Farming, fishing, and forestry occupations","0","0","0","116","292"
"Construction and extraction occupations","151","288","181","395","508"
"Installation, maintenance, and repair occupations","212","54","0","309","261"
"Production, transportation, and material moving occupations:","209","284","1595","2365","3633"
"Production occupations","153","197","1348","1147","2477"
"Transportation occupations","56","87","78","1064","779"
"Material moving occupations","0","0","169","154","377"
