"Label","Bronx County, New York / Estimate","Richmond County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Kings County, New York / Estimate"
"Total:","130593","155678","573325","458726","558578"
"Male:","72690","83415","297232","251113","298671"
"Management, business, science, and arts occupations:","20954","26474","204955","89192","152355"
"Management, business, and financial occupations:","8185","13019","99379","40963","59683"
"Management occupations","5918","9020","65795","28768","43641"
"Business and financial operations occupations","2267","3999","33584","12195","16042"
"Computer, engineering, and science occupations:","3134","5387","27942","16279","25872"
"Computer and mathematical occupations","1769","2661","16868","9526","16828"
"Architecture and engineering occupations","856","2273","6068","5348","6286"
"Life, physical, and social science occupations","509","453","5006","1405","2758"
"Education, legal, community service, arts, and media occupations:","7814","4900","65997","26890","59881"
"Community and social service occupations","510","621","4182","2135","3762"
"Legal occupations","728","571","20157","4024","6853"
"Education, training, and library occupations","3686","2549","12862","9568","18521"
"Arts, design, entertainment, sports, and media occupations","2890","1159","28796","11163","30745"
"Healthcare practitioners and technical occupations:","1821","3168","11637","5060","6919"
"Health diagnosing and treating practitioners and other technical occupations","903","2558","11075","3992","5173"
"Health technologists and technicians","918","610","562","1068","1746"
"Service occupations:","20424","14489","21729","47561","39043"
"Healthcare support occupations","541","673","473","1253","2816"
"Protective service occupations:","3379","7760","1835","9738","8787"
"Fire fighting and prevention, and other protective service workers including supervisors","1551","4252","1303","5393","5267"
"Law enforcement workers including supervisors","1828","3508","532","4345","3520"
"Food preparation and serving related occupations","8070","2151","10798","18594","15626"
"Building and grounds cleaning and maintenance occupations","5632","1988","3986","10822","6400"
"Personal care and service occupations","2802","1917","4637","7154","5414"
"Sales and office occupations:","14138","14846","56844","40783","54306"
"Sales and related occupations","7619","8151","41518","24040","33140"
"Office and administrative support occupations","6519","6695","15326","16743","21166"
"Natural resources, construction, and maintenance occupations:","9114","15984","5656","41779","25605"
"Farming, fishing, and forestry occupations","118","77","0","348","255"
"Construction and extraction occupations","6062","11883","3598","31852","18149"
"Installation, maintenance, and repair occupations","2934","4024","2058","9579","7201"
"Production, transportation, and material moving occupations:","8060","11622","8048","31798","27362"
"Production occupations","1741","2524","2260","7705","7843"
"Transportation occupations","4708","6688","4888","19878","15189"
"Material moving occupations","1611","2410","900","4215","4330"
"Female:","57903","72263","276093","207613","259907"
"Management, business, science, and arts occupations:","20915","35377","194148","91557","148014"
"Management, business, and financial occupations:","7316","8409","86774","32876","47993"
"Management occupations","4532","5221","54029","21151","31962"
"Business and financial operations occupations","2784","3188","32745","11725","16031"
"Computer, engineering, and science occupations:","1237","1528","13258","5020","10697"
"Computer and mathematical occupations","781","582","5340","2055","5350"
"Architecture and engineering occupations","53","427","874","923","2062"
"Life, physical, and social science occupations","403","519","7044","2042","3285"
"Education, legal, community service, arts, and media occupations:","9719","16843","74938","40052","73326"
"Community and social service occupations","1631","1857","6059","5374","6897"
"Legal occupations","1223","1687","14734","3396","7510"
"Education, training, and library occupations","5413","11937","24037","24060","31140"
"Arts, design, entertainment, sports, and media occupations","1452","1362","30108","7222","27779"
"Healthcare practitioners and technical occupations:","2643","8597","19178","13609","15998"
"Health diagnosing and treating practitioners and other technical occupations","2128","6185","17627","10422","12252"
"Health technologists and technicians","515","2412","1551","3187","3746"
"Service occupations:","17229","12693","25622","49824","44413"
"Healthcare support occupations","4457","3350","5681","9227","15308"
"Protective service occupations:","639","1164","476","1260","1720"
"Fire fighting and prevention, and other protective service workers including supervisors","252","608","430","635","1376"
"Law enforcement workers including supervisors","387","556","46","625","344"
"Food preparation and serving related occupations","2767","1758","7251","10236","9788"
"Building and grounds cleaning and maintenance occupations","4295","2103","2529","15362","6298"
"Personal care and service occupations","5071","4318","9685","13739","11299"
"Sales and office occupations:","16037","22995","53232","57627","60754"
"Sales and related occupations","5164","7575","26305","18772","21032"
"Office and administrative support occupations","10873","15420","26927","38855","39722"
"Natural resources, construction, and maintenance occupations:","461","342","354","1631","1155"
"Farming, fishing, and forestry occupations","0","0","0","116","292"
"Construction and extraction occupations","249","288","300","852","602"
"Installation, maintenance, and repair occupations","212","54","54","663","261"
"Production, transportation, and material moving occupations:","3261","856","2737","6974","5571"
"Production occupations","1777","282","2022","4167","3489"
"Transportation occupations","947","456","412","1487","1130"
"Material moving occupations","537","118","303","1320","952"
