"Label","New York County, New York / Estimate","Kings County, New York / Estimate","Queens County, New York / Estimate","Bronx County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","561722","570966","419447","129841","159588"
"Male:","284921","298122","227478","63916","85651"
"Management, business, science, and arts occupations:","201737","160828","83676","19615","27748"
"Management, business, and financial occupations:","98394","60299","41024","7563","12997"
"Management occupations","59396","40169","27877","5558","7845"
"Business and financial operations occupations","38998","20130","13147","2005","5152"
"Computer, engineering, and science occupations:","30341","28362","14170","3760","5139"
"Computer and mathematical occupations","20055","19970","8051","2854","3491"
"Architecture and engineering occupations","3979","5965","5195","248","1313"
"Life, physical, and social science occupations","6307","2427","924","658","335"
"Education, legal, community service, arts, and media occupations:","60164","64308","23721","6801","7678"
"Community and social service occupations","2546","3743","2210","1345","991"
"Legal occupations","17158","8834","4439","855","885"
"Educational instruction, and library occupations","14504","19015","7925","2077","4190"
"Arts, design, entertainment, sports, and media occupations","25956","32716","9147","2524","1612"
"Healthcare practitioners and technical occupations:","12838","7859","4761","1491","1934"
"Health diagnosing and treating practitioners and other technical occupations","11432","5723","3478","697","1550"
"Health technologists and technicians","1406","2136","1283","794","384"
"Service occupations:","22584","36105","40762","16190","17961"
"Healthcare support occupations","1684","2795","1203","730","1070"
"Protective service occupations:","2534","6550","9865","2343","8306"
"Firefighting and prevention, and other protective service workers including supervisors","1498","3737","5706","1714","4987"
"Law enforcement workers including supervisors","1036","2813","4159","629","3319"
"Food preparation and serving related occupations","9939","12337","14607","5319","3020"
"Building and grounds cleaning and maintenance occupations","4750","7438","8750","4759","3591"
"Personal care and service occupations","3677","6985","6337","3039","1974"
"Sales and office occupations:","45914","50024","31895","10018","12269"
"Sales and related occupations","33305","30226","17867","5248","7887"
"Office and administrative support occupations","12609","19798","14028","4770","4382"
"Natural resources, construction, and maintenance occupations:","5488","23914","35320","7482","15007"
"Farming, fishing, and forestry occupations","149","67","52","171","0"
"Construction and extraction occupations","3625","19683","26018","4442","11543"
"Installation, maintenance, and repair occupations","1714","4164","9250","2869","3464"
"Production, transportation, and material moving occupations:","9198","27251","35825","10611","12666"
"Production occupations","3443","6937","8904","2682","2500"
"Transportation occupations","2673","14810","20084","5339","6736"
"Material moving occupations","3082","5504","6837","2590","3430"
"Female:","276801","272844","191969","65925","73937"
"Management, business, science, and arts occupations:","189583","160645","88281","25398","35847"
"Management, business, and financial occupations:","77669","52663","28982","7739","10707"
"Management occupations","48127","31259","17855","4856","6469"
"Business and financial operations occupations","29542","21404","11127","2883","4238"
"Computer, engineering, and science occupations:","18187","11024","6289","1122","1603"
"Computer and mathematical occupations","8371","5822","3052","563","868"
"Architecture and engineering occupations","3249","1472","1066","127","231"
"Life, physical, and social science occupations","6567","3730","2171","432","504"
"Education, legal, community service, arts, and media occupations:","77715","77769","39233","11730","15804"
"Community and social service occupations","5281","5844","4401","2570","1997"
"Legal occupations","11195","6961","4067","1293","795"
"Educational instruction, and library occupations","31484","33037","22117","6413","11647"
"Arts, design, entertainment, sports, and media occupations","29755","31927","8648","1454","1365"
"Healthcare practitioners and technical occupations:","16012","19189","13777","4807","7733"
"Health diagnosing and treating practitioners and other technical occupations","14778","14841","10635","3081","5354"
"Health technologists and technicians","1234","4348","3142","1726","2379"
"Service occupations:","23638","46815","42308","19948","12598"
"Healthcare support occupations","5935","17476","9119","7452","4138"
"Protective service occupations:","429","2068","1854","972","1415"
"Firefighting and prevention, and other protective service workers including supervisors","338","1419","1189","825","748"
"Law enforcement workers including supervisors","91","649","665","147","667"
"Food preparation and serving related occupations","5229","10117","10669","3334","2425"
"Building and grounds cleaning and maintenance occupations","1963","6036","11371","3838","1117"
"Personal care and service occupations","10082","11118","9295","4352","3503"
"Sales and office occupations:","59418","59328","53368","17951","22582"
"Sales and related occupations","26353","19881","15800","5119","6626"
"Office and administrative support occupations","33065","39447","37568","12832","15956"
"Natural resources, construction, and maintenance occupations:","59","474","1788","292","503"
"Farming, fishing, and forestry occupations","0","45","48","94","26"
"Construction and extraction occupations","0","359","1460","163","351"
"Installation, maintenance, and repair occupations","59","70","280","35","126"
"Production, transportation, and material moving occupations:","4103","5582","6224","2336","2407"
"Production occupations","2818","3717","2820","977","1045"
"Transportation occupations","1221","651","2131","584","679"
"Material moving occupations","64","1214","1273","775","683"
