"Label","Bronx County, New York / Estimate","Kings County, New York / Estimate","New York County, New York / Estimate","Queens County, New York / Estimate","Richmond County, New York / Estimate"
"Total:","132418","564037","570626","409525","165438"
"Male:","70797","294566","290854","218864","87085"
"Management, business, science, and arts occupations:","18698","163063","206330","87786","30896"
"Management, business, and financial occupations:","7977","64047","105121","37834","15277"
"Management occupations","5992","43544","66083","24528","10309"
"Business and financial operations occupations","1985","20503","39038","13306","4968"
"Computer, engineering, and science occupations:","2014","28019","29831","17713","5671"
"Computer and mathematical occupations","1123","18230","19401","9857","4166"
"Architecture and engineering occupations","519","6565","4857","5692","939"
"Life, physical, and social science occupations","372","3224","5573","2164","566"
"Education, legal, community service, arts, and media occupations:","6342","63147","59388","27227","6953"
"Community and social service occupations","1387","2912","2586","2317","807"
"Legal occupations","674","9700","15472","3761","774"
"Educational instruction, and library occupations","2781","18793","17706","8698","4072"
"Arts, design, entertainment, sports, and media occupations","1500","31742","23624","12451","1300"
"Healthcare practitioners and technical occupations:","2365","7850","11990","5012","2995"
"Health diagnosing and treating practitioners and other technical occupations","1777","5573","10628","3451","2279"
"Health technologists and technicians","588","2277","1362","1561","716"
"Service occupations:","18194","34450","23390","38597","16341"
"Healthcare support occupations","912","2139","958","1177","604"
"Protective service occupations:","3190","7956","3316","7402","8143"
"Firefighting and prevention, and other protective service workers including supervisors","2174","5102","2320","4371","4391"
"Law enforcement workers including supervisors","1016","2854","996","3031","3752"
"Food preparation and serving related occupations","4854","12387","10351","15577","3537"
"Building and grounds cleaning and maintenance occupations","7303","7004","3670","7683","3293"
"Personal care and service occupations","1935","4964","5095","6758","764"
"Sales and office occupations:","10204","46265","49052","28926","11140"
"Sales and related occupations","6302","31257","37455","16849","6417"
"Office and administrative support occupations","3902","15008","11597","12077","4723"
"Natural resources, construction, and maintenance occupations:","12778","23700","4233","36516","16724"
"Farming, fishing, and forestry occupations","229","0","0","0","0"
"Construction and extraction occupations","8883","17644","3119","27091","11810"
"Installation, maintenance, and repair occupations","3666","6056","1114","9425","4914"
"Production, transportation, and material moving occupations:","10923","27088","7849","27039","11984"
"Production occupations","2534","6810","2797","6990","2110"
"Transportation occupations","4842","15289","3437","13531","6474"
"Material moving occupations","3547","4989","1615","6518","3400"
"Female:","61621","269471","279772","190661","78353"
"Management, business, science, and arts occupations:","25985","163120","199001","92624","42092"
"Management, business, and financial occupations:","10337","55208","85411","32678","12117"
"Management occupations","6542","36278","49546","20915","6458"
"Business and financial operations occupations","3795","18930","35865","11763","5659"
"Computer, engineering, and science occupations:","1329","12272","17277","4202","2420"
"Computer and mathematical occupations","380","5797","8220","2406","1392"
"Architecture and engineering occupations","543","2590","2571","808","566"
"Life, physical, and social science occupations","406","3885","6486","988","462"
"Education, legal, community service, arts, and media occupations:","9984","77990","77477","41677","19418"
"Community and social service occupations","1534","8577","5344","3877","2197"
"Legal occupations","342","9188","13064","4708","2179"
"Educational instruction, and library occupations","6370","33189","26804","25794","13099"
"Arts, design, entertainment, sports, and media occupations","1738","27036","32265","7298","1943"
"Healthcare practitioners and technical occupations:","4335","17650","18836","14067","8137"
"Health diagnosing and treating practitioners and other technical occupations","2705","14368","16856","11378","6274"
"Health technologists and technicians","1630","3282","1980","2689","1863"
"Service occupations:","16195","42405","25178","42870","13295"
"Healthcare support occupations","6872","16542","4030","11261","3959"
"Protective service occupations:","1435","1709","2365","1906","2144"
"Firefighting and prevention, and other protective service workers including supervisors","1007","914","2193","1105","903"
"Law enforcement workers including supervisors","428","795","172","801","1241"
"Food preparation and serving related occupations","3095","8890","5648","10027","3055"
"Building and grounds cleaning and maintenance occupations","2354","3847","2818","9397","1929"
"Personal care and service occupations","2439","11417","10317","10279","2208"
"Sales and office occupations:","17272","57395","51480","46465","20630"
"Sales and related occupations","5221","18838","27995","14984","7136"
"Office and administrative support occupations","12051","38557","23485","31481","13494"
"Natural resources, construction, and maintenance occupations:","332","821","763","1005","895"
"Farming, fishing, and forestry occupations","185","0","0","107","268"
"Construction and extraction occupations","79","700","746","606","142"
"Installation, maintenance, and repair occupations","68","121","17","292","485"
"Production, transportation, and material moving occupations:","1837","5730","3350","7697","1441"
"Production occupations","471","3224","1193","3925","314"
"Transportation occupations","770","993","914","2311","476"
"Material moving occupations","596","1513","1243","1461","651"
