"Label","New York County, New York!!Estimate","Kings County, New York!!Estimate","Queens County, New York!!Estimate","Bronx County, New York!!Estimate","Richmond County, New York!!Estimate"
"Total:","66,029","42,148","40,660","30,609","51,137"
"    Male:","76,696","46,447","42,199","32,280","59,189"
"        Management, business, science, and arts occupations:","108,084","72,332","71,076","56,602","80,670"
"            Management, business, and financial occupations:","121,893","81,238","76,353","61,985","85,846"
"                Management occupations","122,623","80,773","75,730","61,859","101,050"
"                Business and financial operations occupations","120,648","85,417","78,153","62,383","61,748"
"            Computer, engineering, and science occupations:","102,440","91,595","76,937","68,814","80,990"
"                Computer and mathematical occupations","115,745","97,624","79,676","65,272","85,330"
"                Architecture and engineering occupations","80,557","82,472","75,645","79,875","65,551"
"                Life, physical, and social science occupations","67,124","69,538","72,330","72,363","150,060"
"            Education, legal, community service, arts, and media occupations:","90,657","56,243","55,264","43,849","55,465"
"                Community and social service occupations","43,899","40,761","38,845","38,109","50,416"
"                Legal occupations","213,455","126,993","79,038","60,543","110,373"
"                Educational instruction, and library occupations","57,234","42,179","60,089","44,607","56,766"
"                Arts, design, entertainment, sports, and media occupations","80,882","60,407","54,935","40,793","83,838"
"            Healthcare practitioners and technical occupations:","105,002","69,042","72,764","60,208","96,743"
"                Health diagnosing and treating practitioners and other technical occupations","126,304","80,572","86,250","71,750","113,272"
"                Health technologists and technicians","86,322","48,045","50,872","46,242","71,798"
"        Service occupations:","31,840","30,729","31,686","26,449","46,932"
"            Healthcare support occupations","22,317","32,971","33,930","25,939","30,785"
"            Protective service occupations:","39,109","45,415","52,764","38,796","71,926"
"                Firefighting and prevention, and other protective service workers including supervisors","29,642","32,889","42,549","34,061","57,775"
"                Law enforcement workers including supervisors","56,930","84,896","76,792","62,744","90,054"
"            Food preparation and serving related occupations","31,883","26,005","27,511","24,204","26,219"
"            Building and grounds cleaning and maintenance occupations","29,903","30,131","31,536","26,755","48,544"
"            Personal care and service occupations","34,578","29,294","29,371","29,521","51,047"
"        Sales and office occupations:","73,886","40,424","41,263","31,142","52,069"
"            Sales and related occupations","91,349","43,537","39,229","30,264","50,328"
"            Office and administrative support occupations","46,202","37,297","45,272","33,006","60,824"
"        Natural resources, construction, and maintenance occupations:","30,800","36,988","40,508","35,173","61,154"
"            Farming, fishing, and forestry occupations","35,529","40,869","26,154","30,112","-"
"            Construction and extraction occupations","28,193","35,803","37,408","32,101","60,117"
"            Installation, maintenance, and repair occupations","31,945","50,738","47,382","41,806","71,429"
"        Production, transportation, and material moving occupations:","28,848","31,988","33,251","28,715","50,732"
"            Production occupations","34,794","35,740","36,272","35,150","50,942"
"            Transportation occupations","31,062","35,588","35,408","28,042","50,292"
"            Material moving occupations","21,385","25,585","26,891","27,101","51,711"
"    Female:","58,916","40,318","37,524","27,451","41,808"
"        Management, business, science, and arts occupations:","76,311","63,065","61,849","49,892","60,849"
"            Management, business, and financial occupations:","90,054","72,272","65,342","55,203","66,258"
"                Management occupations","95,844","75,007","66,026","52,721","69,558"
"                Business and financial operations occupations","81,568","70,648","64,881","56,932","59,224"
"            Computer, engineering, and science occupations:","76,247","77,239","72,498","66,870","63,497"
"                Computer and mathematical occupations","82,790","82,369","75,327","75,732","61,473"
"                Architecture and engineering occupations","56,126","86,036","76,495","75,982","94,345"
"                Life, physical, and social science occupations","71,631","60,057","71,219","44,227","68,099"
"            Education, legal, community service, arts, and media occupations:","61,460","55,478","51,975","40,848","52,279"
"                Community and social service occupations","50,744","54,773","51,193","43,548","55,379"
"                Legal occupations","142,464","85,196","71,094","61,208","92,457"
"                Educational instruction, and library occupations","52,305","43,625","50,456","38,687","48,485"
"                Arts, design, entertainment, sports, and media occupations","64,766","62,364","51,133","23,232","31,566"
"            Healthcare practitioners and technical occupations:","83,806","67,385","66,119","57,851","69,519"
"                Health diagnosing and treating practitioners and other technical occupations","94,194","80,401","75,028","79,379","85,004"
"                Health technologists and technicians","60,870","41,158","41,049","34,606","42,824"
"        Service occupations:","21,653","23,300","22,314","19,902","26,972"
"            Healthcare support occupations","21,261","24,180","24,042","20,120","30,307"
"            Protective service occupations:","36,678","40,450","42,322","35,778","51,175"
"                Firefighting and prevention, and other protective service workers including supervisors","31,819","31,128","31,498","26,986","31,301"
"                Law enforcement workers including supervisors","46,140","55,125","60,454","56,301","100,054"
"            Food preparation and serving related occupations","22,397","21,799","21,580","16,820","23,052"
"            Building and grounds cleaning and maintenance occupations","20,653","20,365","23,177","22,461","23,082"
"            Personal care and service occupations","20,002","21,218","19,037","16,002","24,457"
"        Sales and office occupations:","50,033","33,578","32,936","27,910","36,929"
"            Sales and related occupations","55,084","26,505","22,396","16,485","25,831"
"            Office and administrative support occupations","46,525","36,274","39,432","35,577","40,767"
"        Natural resources, construction, and maintenance occupations:","81,931","42,368","39,834","26,997","24,471"
"            Farming, fishing, and forestry occupations","-","-","11,517","-","-"
"            Construction and extraction occupations","201,238","45,318","39,475","27,004","55,102"
"            Installation, maintenance, and repair occupations","12,239","41,703","65,260","30,128","58,703"
"        Production, transportation, and material moving occupations:","35,634","26,409","26,111","21,139","35,000"
"            Production occupations","36,768","21,197","24,676","22,887","45,909"
"            Transportation occupations","45,173","35,805","32,341","23,831","50,559"
"            Material moving occupations","22,980","23,344","22,750","19,808","21,120"
